17745908
/m/047fhqx
/m/047fhqx
Marie Corelli
1886
a 12
ability 1
an 1
and 6
angel 2
artist 1
as 1
away 1
but 2
by 2
cellini 2
character 1
comes 1
craves 1
debilitating 1
depression 1
destiny 1
disciplines 1
divine 1
doctor 1
enough 1
experiences 1
famous 1
faster 1
first 1
fly 1
for 1
from 1
god 2
gossamer 1
guardian 1
he 1
hear 1
heliobas 1
help 1
her 9
hero 1
heroine 1
holiday 1
human 2
illnesses 1
immediately 1
in 3
includes 1
infinite 1
into 1
is 1
it 1
italian 1
later 1
light 1
like 1
locked 1
longs 1
love 1
master 1
meditative 1
meets 2
monastery 1
more 2
mystical 1
name 1
named 1
not 1
of 9
off 1
offers 1
on 2
oneness 1
own 1
person 1
potion 1
pure 2
puts 1
raffello 1
religion 1
romance 1
secret 1
see 1
seeks 1
sends 1
series 1
shares 1
she 8
shooting 1
should 1
silk 1
slumber 1
solar 1
spirits 1
star 1
starts 1
still 1
story 2
strange 1
suicide 1
systems 1
telling 1
than 1
that 2
the 6
these 1
things 1
this 1
thoughts 1
through 2
to 3
touch 1
tranquil 1
truth 1
two 1
unable 1
understand 1
upon 1
visions 1
wakening 1
wants 1
where 1
which 2
while 2
whisks 1
who 1
with 2
worlds 1
young 1
