32128936
/m/0gwznlm
/m/0gwznlm
Thomas Glavinic
2006
a 4
actions 1
activities 1
and 2
appears 1
around 1
as 2
asleep 1
attempts 1
be 1
begins 1
central 1
character 1
city 1
concerns 1
control 1
could 1
day 2
days 1
discover 2
else 1
ensues 1
everyone 1
existential 1
explain 1
exploration 1
for 1
from 1
has 1
he 4
his 1
human 1
in 1
is 2
jonas 2
left 1
life 1
modern 1
novel 1
of 1
one 1
only 1
other 1
pass 1
performing 1
perhaps 1
person 1
philosophy 1
plot 1
possibly 1
postapocalyptic 1
realise 1
searching 1
set 1
situation 1
solitude 1
strange 1
struggle 1
such 1
that 2
the 6
themes 1
to 5
trace 1
tries 1
unconscious 1
up 1
vanished 1
vienna 1
wakes 1
what 1
when 1
while 1
who 1
without 1
world 1
