4910784
/m/0ctsnd
/m/0ctsnd
Dean Koontz
1987-02
a 8
abusive 1
after 1
agents 1
along 1
an 1
and 7
any 1
appears 1
as 1
assassin 1
attacked 1
attempts 1
aunt 1
barbara 1
be 1
befriends 1
begins 1
bond 1
but 1
by 1
california 1
canyon 1
cornell 1
creature 1
creatures 2
delta 1
determined 1
devon 1
died 1
dog 2
down 1
einstein 3
eliminate 1
eluding 1
encounter 1
encounters 1
engineered 1
enhanced 1
escaped 1
escapees 1
exploring 1
extraordinarily 1
federal 1
feels 1
find 1
force 1
form 1
former 1
from 3
genetically 1
golden 1
government 1
grown 1
has 2
have 1
he 2
her 2
him 1
hired 1
his 2
home 3
in 2
intelligence 1
intervene 1
introverted 1
is 2
kill 2
known 1
lab 2
life 1
man 1
may 1
meanwhile 1
names 1
nasco 1
near 1
nora 2
not 1
on 1
one 1
only 1
operative 1
other 1
outsider 3
pointless 1
professional 1
quickly 1
rape 1
recently 1
retriever 1
run 1
ruthless 1
santa 1
soon 1
story 1
takes 1
terrifying 1
that 2
the 12
themselves 1
three 1
tight 1
to 5
topsecret 1
track 1
travis 5
trying 1
two 1
vince 1
way 1
when 1
who 1
whose 1
with 1
witnesses 1
woman 1
young 1
