6854309
/m/0gsq8w
/m/0gsq8w
Tamora Pierce
2002-04
a 5
abusive 1
all 1
ambient 1
amount 1
an 1
and 7
are 3
areas 1
as 2
aspect 1
authorities 1
be 1
because 1
ben 6
brigade 1
buildings 1
burning 3
but 1
captures 1
carpentry 1
challenging 1
complete 1
cooking 1
created 1
daja 8
daughters 1
death 1
determine 1
devises 1
discover 1
discovered 1
either 1
eldest 1
emotionally 1
end 2
ends 1
entrusts 1
family 1
fighting 1
fire 1
firebug 2
firefighter 1
fires 3
flames 1
form 1
friends 2
from 3
frostpine 2
gives 1
gloves 1
got 1
has 1
he 4
her 1
him 4
his 2
if 1
in 4
increases 1
is 5
isnt 1
it 2
jorality 1
jory 2
ladradun 1
living 1
local 2
mages 1
magic 2
magics 1
make 1
makes 1
many 2
meanwhile 1
meditate 1
metal 1
mirror 1
mother 1
nia 2
niamara 1
no 1
not 1
of 9
on 1
only 2
opposites 1
or 1
organized 1
pair 1
people 1
personality 1
physically 1
possess 3
protect 1
proves 1
purpose 1
realized 1
recent 1
respect 1
responsibility 1
revealed 1
saving 1
searches 1
set 2
she 2
since 2
skill 1
some 1
staying 2
suspect 1
task 1
teaching 1
testing 1
that 3
the 15
their 1
them 2
there 1
they 1
thinking 1
this 1
those 1
time 1
tirelessly 1
to 12
trying 1
twins 3
twisted 1
two 1
up 2
victim 1
villagers 1
was 3
way 1
were 1
when 2
while 1
who 1
with 2
working 1
works 1
