4404389
/m/0c0fyz
/m/0c0fyz
Jules Verne
1877-04
a 10
aberfoyle 2
accompanying 1
adopted 1
adult 1
after 1
all 1
along 1
an 1
and 6
announce 1
another 1
are 1
around 2
astonished 1
at 1
attributed 1
becomes 1
been 3
but 1
by 2
called 1
came 1
caused 1
cavern 1
characters 1
clear 1
closure 1
coal 2
colleague 1
come 1
community 2
continues 1
cottage 1
course 1
covering 1
deep 2
discovers 1
discovery 2
down 1
earlier 1
employee 1
engineer 1
eventually 1
explorations 1
family 1
few 1
find 1
finds 1
firemaidens 1
follows 1
for 1
force 1
ford 3
former 1
fortunes 1
from 3
girl 1
goblins 1
growing 1
had 1
happenings 2
harry 3
has 2
have 2
he 2
head 1
his 4
in 1
inhabited 1
initially 1
inside 1
is 3
it 1
its 1
james 1
lake 1
large 1
letter 1
living 1
loch 1
made 1
madge 2
main 1
malcolm 1
malevolent 1
marriage 1
mine 6
mined 1
mining 2
mysterious 2
named 1
near 1
nell 3
never 1
new 1
next 1
nothing 1
novel 1
occur 1
occurrences 1
of 15
off 1
old 2
only 1
orphan 1
out 2
outset 1
over 2
overman 1
owl 1
presence 1
receiving 1
reveals 1
revitalised 1
scotland 1
sets 1
shaft 1
she 2
silfax 1
simon 3
since 1
son 1
soon 1
span 1
starr 2
start 1
stirling 1
suspicious 1
system 1
ten 2
that 3
the 19
their 1
this 1
thought 1
time 1
to 5
town 1
trained 1
underground 1
unexplained 1
up 1
vein 2
when 1
where 2
who 1
whole 1
wife 1
with 2
work 1
years 3
young 1
