1612496
/m/05gmbd
/m/05gmbd
Horton Foote


10s 1
64 1
72yearold 1
a 3
about 1
according 1
after 1
again 1
age 2
and 4
appears 1
approaching 1
as 1
at 1
been 1
but 1
characters 2
cousins 3
cycle 1
dale 3
davenport 1
done 1
early 2
first 1
foote 1
found 1
ground 2
had 1
he 2
her 1
himself 1
his 2
home 1
in 13
introduced 1
kidder 2
life 1
lily 3
middle 1
nine 1
of 1
old 1
on 1
orphan 1
parched 2
pete 1
play 3
plays 1
playwright 1
portrayed 1
revived 1
roots 2
sixtyyearold 1
stages 1
started 1
stepfather 1
subsequent 1
tenyearold 1
the 3
them 1
these 1
thinking 1
thirty 1
this 3
thought 1
to 1
twenties 1
was 4
which 1
will 1
with 1
work 1
years 1
