20260694
/m/04_13y6
/m/04_13y6
Lee Goldberg
2008-12-02
a 3
again 1
aging 1
and 2
are 2
aside 1
because 1
blackmails 1
bones 1
break 1
by 1
can 1
catacombs 1
check 1
conduct 1
evidence 1
famous 1
filled 1
for 1
france 1
going 1
he 1
her 1
in 2
investigation 1
is 2
keeping 1
maze 1
mazes 1
monk 4
murder 2
natalie 2
not 1
of 3
old 1
once 1
out 1
pair 1
paris 3
pipes 1
plans 1
put 1
sanitary 1
sewers 2
she 1
shows 1
skull 1
skulls 1
so 3
spots 1
stumble 1
surprises 1
telling 1
that 2
the 7
to 2
traveling 1
tunnels 1
two 1
underground 1
upon 1
vacation 1
wants 2
when 1
which 1
while 2
with 1
