17085697
/m/0417xp5
/m/0417xp5
Caroline B. Cooney
2002
{"/m/014dfn": "Speculative fiction"}
a 5
abandon 1
again 1
agamemnon 1
all 3
an 2
anaxandra 11
and 11
andromache 1
animosity 1
are 1
arrives 1
arriving 1
as 2
assumes 1
at 1
attack 1
away 1
be 3
beautiful 1
becomes 1
before 1
befriends 1
believed 1
believing 1
beloved 1
between 1
bride 2
brother 1
brought 1
but 1
by 5
callisto 2
callistos 1
calls 1
cassandra 2
chieftain 1
chrysaor 1
city 1
comes 2
crete 1
cursed 1
danger 1
daughter 3
declare 1
defend 1
demand 1
destroy 1
destroyed 1
doom 1
eager 1
euneus 1
ever 1
except 1
exposed 1
falling 1
family 3
father 1
favour 1
find 1
finds 1
for 4
foreseen 1
former 1
found 1
friend 1
from 1
greater 1
has 2
have 1
he 2
hector 2
helen 11
her 12
hermione 1
herself 1
him 1
his 6
home 1
honour 1
household 1
identity 1
in 7
infant 1
into 1
is 6
island 4
its 1
killed 1
king 4
learns 1
leaves 1
leaving 1
lemnos 1
life 1
lives 1
love 3
loyalty 1
make 1
medusa 1
members 1
menelaus 6
menelauss 1
must 1
neglects 1
neutral 1
never 1
new 1
nicander 3
nothing 1
occur 1
of 20
off 1
otherwise 1
own 1
paris 4
pirates 2
place 1
places 1
playmate 1
pleisthenes 2
plunder 1
pretending 1
prince 3
princess 1
prophecies 1
protector 1
quickly 1
repay 1
rescue 1
return 2
revels 1
rules 1
sake 1
save 2
scaring 1
she 1
siphnos 2
sister 1
six 1
slaves 1
small 1
so 1
sole 1
son 2
soon 1
sparta 4
spite 1
stolen 1
stop 1
suffer 1
suffering 1
suitors 1
survives 1
suspicious 1
sworn 1
takes 3
than 1
that 4
the 15
there 1
to 15
torn 1
towards 1
treasures 1
treasury 1
tribute 1
troy 6
unable 1
uncharted 1
upon 3
war 2
way 1
welcome 1
when 4
while 1
who 5
wife 1
will 5
with 3
years 1
young 1
