6464546
/m/0g6csz
/m/0g6csz
Matthew Stadler

a 16
advice 1
after 1
all 1
amelia 3
american 1
an 2
and 8
anxietyridden 1
are 2
as 1
battered 1
beautiful 1
before 1
begin 1
being 1
between 1
blend 1
book 1
boundaries 1
boy 2
brilliant 1
built 1
but 2
by 9
case 1
century 1
chance 1
choppers 1
chronicle 2
city 1
coastal 1
country 1
crime 1
dee 5
delinquent 1
dutch 1
dwarf 1
emerged 1
encounter 1
end 1
ensnare 1
extracts 1
fantasies 1
father 2
fear 1
female 1
flees 1
fortuneteller 1
francis 1
friendship 1
from 3
gear 1
guardian 1
halfdrowned 1
has 1
haunted 1
he 1
henry 1
her 1
his 5
historical 1
history 4
holland 1
housed 1
impersonal 1
in 5
inner 1
insurance 2
intended 1
interpenetrating 1
is 3
linking 1
lives 1
loss 1
lover 1
made 2
man 1
matthew 1
memories 1
music 1
mysterious 1
named 1
narrative 1
nicholas 7
night 1
novel 1
of 17
on 1
once 1
one 2
operahouse 1
operatic 1
oscar 2
out 1
outer 1
outlaw 1
part 1
passages 1
patrolled 1
performance 1
personal 1
plagued 1
play 1
police 2
practice 1
professor 1
purcell 1
research 2
riot 1
scattered 1
scheme 1
schemes 1
scholarly 1
score 1
sea 1
serve 1
setting 1
seventeenth 1
shakespeare 1
shelter 1
single 1
snatches 1
son 1
soprano 1
stadler 1
storm 1
storms 1
story 1
study 1
swamp 1
swept 1
takes 1
teenaged 1
tempest 1
text 1
the 19
throughout 1
to 5
together 1
tool 1
unnamed 1
vega 1
was 1
weathered 1
where 1
which 1
winter 1
with 3
within 1
writing 1
young 2
