301587
/m/01rz2d
/m/01rz2d
Isaac Asimov
1972
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 1
186 4
186an 1
a 51
abandon 1
abandoning 1
ability 2
able 2
abnormalities 1
about 6
absorb 1
accelerating 1
acceptable 1
accepts 1
accuses 1
acknowledgment 1
acting 1
actually 1
afraid 1
afterward 1
against 1
agrees 1
aliens 4
all 4
allocating 1
allowed 1
also 6
altered 1
alternative 2
although 2
among 1
amorphous 1
an 10
analog 1
and 52
another 2
any 3
anyway 1
apparently 1
appears 1
appropriate 1
are 17
arguing 1
around 1
as 14
asks 1
associated 1
assumed 1
assumption 1
at 3
atoms 1
attempts 2
balances 1
bang 1
be 13
bear 1
because 2
become 4
becomes 2
been 6
before 1
begging 1
begins 2
behave 1
behavior 1
being 1
beings 1
believes 1
benefits 1
betrayal 1
between 3
blackout 1
bodies 2
book 1
boot 1
both 1
briefly 1
bronowski 4
but 9
by 19
called 5
campaign 1
can 6
cannot 4
career 1
carefully 1
cause 2
causes 1
causing 1
caves 1
centering 1
challenge 1
changes 1
cheap 2
child 3
children 3
choice 1
civilization 1
clean 2
coached 1
coincides 1
colleague 2
comes 1
coming 1
community 1
companions 1
comprehensible 1
concealed 1
concludes 1
conditions 1
conflict 1
consist 1
consulted 1
consuming 1
contact 2
container 1
contents 1
continue 3
continued 1
converted 1
convinced 1
convinces 1
cooling 1
correct 1
cosmeg 1
cosmic 1
cost 1
could 1
creating 3
crucial 1
cynical 1
danger 1
dangerous 2
daughter 1
decays 1
decides 1
decision 1
deduced 1
defy 1
demonstrate 1
denison 4
desire 1
despite 1
destroy 1
destroys 1
destruction 2
development 3
diagrams 1
die 1
differences 2
different 4
differently 1
directly 2
discovered 1
discovers 3
discovery 1
dismissed 1
do 3
done 1
doom 1
draw 1
driven 1
drove 1
dua 11
due 1
during 2
dying 3
each 2
early 1
earth 7
earthside 1
eating 1
effect 1
effort 1
egg 1
ego 1
electron 4
embedded 1
emotional 3
emotionals 4
empathy 1
encouraged 1
end 2
endless 1
energy 13
energybattery 1
engaging 1
engineered 1
enlists 1
enough 1
equilibrium 1
escape 1
escapes 1
essentially 1
establish 1
estwald 2
etruscan 1
even 2
eventually 4
exceptional 1
exchange 3
exchanging 1
exhibits 1
existence 2
exists 1
expected 2
expire 1
exploded 1
exploit 1
extent 1
extinction 1
facetoface 1
facilitate 1
fact 8
facts 1
fails 1
families 1
family 1
fatal 1
fate 1
fear 1
feed 1
feminine 1
fiercely 1
filled 1
final 2
finally 2
find 1
finds 1
first 4
fixed 1
foil 1
for 10
force 1
form 3
formed 1
found 1
frederick 1
from 8
fuel 1
fully 1
furious 1
fuse 2
fusion 1
gender 1
genders 1
general 1
genetically 1
gets 1
go 1
goes 1
governed 1
greater 2
greatly 1
group 1
guerilla 1
guide 1
had 5
hallam 9
hard 17
hardteacher 1
harms 1
has 8
have 10
having 1
he 6
heard 1
help 1
helped 1
her 16
hero 1
high 1
him 5
himself 2
his 4
history 2
however 1
huge 1
human 1
humanity 1
hydrogen 1
idealistic 1
identified 3
if 1
immaterial 1
important 1
impregnate 1
in 43
incidentally 1
increases 1
incredibly 1
independently 2
individual 2
inextricably 1
influence 1
infuriated 1
inhabit 1
initially 1
initiative 1
innate 1
inside 1
instead 1
instructions 1
intelligent 1
interestingly 1
into 14
introduced 1
intuition 2
intuitionist 1
intuitive 1
invent 1
inventor 1
investigated 1
is 31
isotope 1
it 13
its 4
keep 1
kept 1
killed 1
know 1
lamont 13
lamp 1
language 1
large 1
last 2
laws 6
leading 1
leads 1
learns 1
learnt 1
least 1
leftem 1
lefts 1
like 1
limited 1
lindstrom 1
linguist 1
linguistic 1
listen 1
little 3
living 1
logical 1
longer 1
looking 1
lose 2
loss 1
lunar 1
lunarian 1
main 1
mainly 1
maintain 1
majority 1
makes 1
making 1
masculine 2
material 2
mates 1
mating 1
matter 5
mature 4
may 1
mean 1
melt 10
melting 1
members 2
memory 2
mentors 1
merge 1
message 1
messages 3
metal 1
method 1
middleaged 1
mids 1
milky 1
mindmeld 1
minds 1
mirrorimage 1
moon 2
more 7
most 1
move 1
much 2
named 2
naturally 1
need 1
needed 2
needing 1
new 3
no 7
nobel 1
normal 1
normally 1
norms 2
not 5
notes 1
nova 1
novel 2
now 1
nuclear 2
occur 1
oddball 1
odds 1
odeen 8
of 59
off 1
official 1
offspring 1
old 2
on 7
once 3
one 14
ones 15
only 4
operate 1
opinion 1
opposite 1
option 1
or 3
orbit 1
orgasmic 1
original 1
originally 1
other 5
our 2
out 6
outraged 1
overcome 1
own 7
paraauthorities 1
paradissidents 1
parahallam 1
parallel 7
paramen 3
parauniverse 2
paraworld 2
parental 2
parentals 4
part 5
parts 1
pass 1
people 1
permanently 1
persuade 3
pets 1
physical 5
physically 1
physicist 2
physics 2
place 3
pleasant 1
plot 1
plotline 1
plutonium 3
politician 1
population 3
position 2
possible 1
possibly 1
power 2
prebig 1
pregnant 1
presence 1
presumed 1
prize 1
problem 2
process 2
procreate 1
produce 1
produced 2
produces 1
production 1
progress 1
project 3
pronouns 3
properties 1
protagonist 1
protective 1
provide 2
provides 2
providing 1
public 1
pump 21
pumps 1
put 1
quasar 1
question 1
race 1
raise 1
rapidly 1
rational 4
rationals 6
reaction 1
ready 2
realising 1
reality 1
realizes 1
received 1
receiving 1
regulate 1
remark 2
renown 1
replacement 1
reproduce 1
reproduction 1
repulsion 1
residents 1
responds 1
result 3
resulting 1
results 1
retained 1
return 2
revealed 2
reveals 1
right 1
rights 1
rigs 1
rival 1
role 1
roles 1
safer 1
same 2
sample 2
saved 1
scientific 2
scientist 1
second 2
secondary 1
secretly 1
section 3
seduced 1
seek 1
seeking 1
seem 1
seems 2
seen 1
selene 2
semimature 1
sensations 1
sent 1
setting 1
several 1
sex 5
sexes 3
sexual 1
she 12
shown 3
shows 1
side 1
since 1
single 1
situation 1
slightly 1
snide 2
social 2
society 3
soft 4
solar 1
solution 1
some 3
somehow 1
something 1
source 6
speak 1
species 2
sperm 1
stable 1
stars 1
state 1
stealing 1
steals 1
stop 5
strong 1
such 2
suffering 1
suggestion 2
sun 8
sunlight 1
superhuman 1
supernova 2
suspects 1
swapped 1
system 1
taboo 1
take 1
takes 3
tampering 1
taps 1
taught 1
teacher 1
teachers 1
teachings 1
technical 2
tell 1
temporarily 1
terminology 1
than 4
that 33
the 166
their 11
themselves 1
then 2
there 3
therefore 1
these 1
they 17
things 1
thinness 1
third 3
this 15
thoughts 1
three 3
through 2
thus 2
ties 1
to 61
together 1
too 2
total 2
tourist 1
toys 1
trades 1
traits 1
transformed 1
translating 1
transmitting 1
triad 13
tritt 4
tungsten 3
turn 1
turning 2
turns 4
ultimate 1
unable 1
uncovered 1
understand 1
universe 14
unusual 1
unwilling 2
up 1
use 4
vaulting 1
violates 1
walls 3
was 2
way 4
well 1
what 2
when 1
whenever 1
where 4
which 8
while 3
who 10
whose 1
will 9
winning 1
with 22
without 1
won 1
works 1
world 1
would 4
writing 1
yet 1
yielding 1
young 1
younger 1
