29124040
/m/0dlmkts
/m/0dlmkts
Johnathan Rand
2006-07
{"/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/0c3351": "Suspense"}
a 7
across 1
africa 1
against 1
alive 1
already 1
and 8
asia 1
be 1
because 1
bird 4
book 2
but 1
by 1
cabin 1
can 3
catastrophe 1
cause 1
causes 2
city 1
collapse 1
contagious 1
content 1
countryside 1
creating 1
dangerous 1
deadly 1
defend 1
describes 1
disease 1
doing 1
economies 1
emergency 1
enough 1
epidemic 1
escape 1
europe 1
eventually 1
feared 1
features 1
find 2
flu 4
food 1
full 1
global 3
gone 1
group 2
h5n1 1
has 1
head 1
hopefully 1
illustrates 1
in 6
infected 1
insane 1
is 2
killers 1
later 1
long 1
looters 1
mad 1
main 1
many 2
matter 1
methods 1
michigan 1
most 1
must 2
mutate 1
necessities 1
of 10
pandemia 1
pandemic 1
parts 2
plot 1
possibility 1
possibly 1
potentially 1
rescued 1
rest 1
saline 1
shelter 1
so 1
society 1
southeastern 1
spread 2
state 1
stay 1
survive 1
teens 2
that 4
the 17
their 1
themselves 1
they 2
this 1
to 6
today 1
transportation 1
try 1
uncle 1
use 1
water 1
weapons 1
weeks 1
whatever 1
where 1
will 1
world 3
would 1
