31409442
/m/0gkz84z
/m/0gkz84z
Janet Morris


a 7
abducts 1
ability 1
about 1
abruptly 1
absence 2
accept 1
access 1
active 1
advantage 1
after 2
afterward 1
again 1
agree 1
aided 1
all 2
allowing 1
an 2
and 17
are 2
assure 1
assuring 2
astria 1
at 1
be 1
because 1
before 1
beginning 1
being 1
believing 1
bf 1
binds 1
bipedal 2
bond 1
but 1
by 1
cahndor 1
can 1
cannot 1
captor 1
causes 1
changes 1
chayin 8
chayins 1
city 1
conquer 3
continue 1
continued 1
control 1
correct 1
costly 1
couch 1
counting 1
created 1
cultivate 1
defeat 1
deny 1
desert 1
desires 1
destroyed 1
destruction 1
devastation 1
device 1
disappeared 1
domination 1
drive 1
drugs 2
dying 1
elevates 1
end 1
enemy 1
enough 2
estri 12
eventually 1
everything 1
exchange 1
exclusive 1
father 2
federation 2
find 1
following 1
for 2
forced 1
forces 1
forging 1
former 1
from 6
further 1
future 1
genetics 1
gifted 1
gloats 1
godlike 1
grandson 1
greed 2
grow 1
has 1
have 3
he 2
heir 1
helpless 1
her 13
hes 1
hides 1
high 1
highest 1
him 2
himself 1
his 8
hitech 1
home 2
hope 1
however 1
hundreds 1
immediate 1
impregnating 1
in 11
inborn 1
infertility 1
inherited 1
innate 1
insane 1
intense 1
into 2
is 3
it 1
join 1
keeps 1
khys 4
knowing 1
land 1
leader 1
leaders 1
least 1
leaves 1
left 1
life 1
local 1
locate 1
longevity 2
lose 1
love 1
made 2
manipulate 1
many 1
may 1
members 1
memory 1
mind 1
miysten 1
must 3
nearly 1
no 1
of 17
offer 3
office 1
offworld 1
on 1
one 2
opponents 1
order 1
others 1
out 1
outcast 1
overlord 2
own 1
parset 3
pasts 1
people 2
place 1
planet 4
plants 1
population 1
power 3
powerful 2
powers 4
probabilities 1
proscribed 1
protection 1
puppet 1
quest 3
raet 1
recovered 1
rejects 1
remembers 1
renegade 1
respite 1
rest 1
return 1
returned 1
role 1
sacred 1
save 1
semimythical 1
sereth 4
shaper 2
she 1
shown 1
silistra 2
silistran 1
slayer 1
sold 1
stop 1
support 1
suppresses 1
take 1
taken 1
technology 1
tested 1
that 4
the 29
their 5
they 3
throughout 1
time 2
to 19
training 1
triad 2
tribal 2
tribe 1
tribes 4
tribulation 1
triumphant 1
truly 1
trusted 1
two 1
under 1
underground 1
universe 1
unsuspecting 1
until 1
usurper 1
vacuum 1
various 1
vassal 1
violent 1
warring 1
was 1
weapons 2
wellkeepress 1
what 1
where 1
which 1
while 1
who 3
will 1
with 4
world 1
years 2
