5667675
/m/0dz3k7
/m/0dz3k7
Glen Cook
1996-04
a 1
also 1
among 1
and 10
another 1
are 1
as 2
atrocities 1
being 2
between 2
black 3
bleak 1
both 1
by 2
caverns 1
characters 1
comatose 1
come 1
committed 1
company 2
comprehended 1
deception 1
dejagore 1
device 2
distant 1
doj 1
dreams 1
during 1
elements 1
enchantment 1
events 3
everpresent 1
examines 2
experience 1
followed 1
for 1
from 2
frozen 1
gota 1
has 1
haunted 1
have 1
he 1
howler 1
in 3
including 1
increasing 1
introduces 1
introspective 1
is 4
it 1
key 1
lady 1
later 1
led 1
liberator 1
made 1
manipulation 1
mother 1
move 1
murgen 3
mysterious 1
narrative 2
new 1
novel 2
of 12
oneeye 1
part 1
past 2
place 1
point 2
possible 1
present 1
radisha 1
recent 1
remains 1
rule 1
sahra 1
seasons 1
seizure 1
series 2
several 1
sides 1
siege 1
smoke 1
some 1
soulcatcher 1
spear 1
steel 1
story 1
stranglers 1
surrounding 1
taglios 1
taking 1
tensions 1
that 2
the 21
this 4
threats 1
threequarters 1
through 1
time 1
to 3
told 1
tone 1
totally 1
trapped 1
traumas 1
uncertain 1
uncle 1
unclear 1
under 1
understand 1
unfixed 1
unique 1
until 1
unusual 1
vaguely 1
view 1
visions 1
was 1
we 1
well 1
when 1
where 1
which 1
while 1
who 1
will 1
within 1
wizard 1
