8171933
/m/026v4yc
/m/026v4yc
Sol Yurick

{"/m/0lsxr": "Crime Fiction"}
4 1
6th 1
a 40
abandoning 1
about 2
accepts 1
achieved 1
act 1
advisor 1
afro 1
after 3
against 1
ago 1
alcoholic 1
all 4
alonso 1
although 1
ambush 1
american 1
amidst 1
among 1
an 9
anabasis 1
and 45
anger 1
angrily 1
angry 2
announces 1
another 1
arcade 1
are 6
argument 1
arnold 3
arnolds 1
around 1
arrest 1
arrive 3
arrived 1
arrives 1
arriving 1
artist 1
as 10
asleep 1
assembly 2
assigned 1
at 5
authority 1
avoid 1
aware 1
away 1
baby 1
back 6
bars 1
bathroom 1
beatles 1
because 1
been 3
before 2
begin 1
begins 1
being 2
believing 1
bench 1
big 1
bimbo 6
black 1
blade 1
blazers 6
board 1
boards 1
book 1
boredom 1
borinquen 1
bought 1
boyfriend 1
brief 1
brims 1
broadway 1
bronx 3
but 3
by 10
call 1
called 1
calls 3
can 1
candy 1
cannot 1
carries 1
cars 1
case 1
caught 1
celebrates 1
celebrating 1
celebration 1
cemetery 1
central 3
challenge 1
challenging 1
challengingly 1
changing 1
chaos 2
character 2
characters 1
chase 1
chastised 1
chastises 1
cheering 1
cigarette 1
cigarettes 1
city 3
class 1
come 1
comes 1
comic 1
complete 1
coney 4
contempt 1
contest 1
converted 1
convinces 1
cop 2
cops 1
cortlandt 1
crawls 1
dangerous 1
dates 1
dead 1
deb 1
debs 2
decides 1
deciding 1
delancey 1
delegates 1
demands 1
depart 1
designed 1
desires 1
destination 1
dewey 6
didnt 1
different 1
disappears 1
disputes 1
dissident 1
dissolves 1
does 2
doesnt 1
doing 1
dominators 15
dont 1
down 2
drawing 1
drive 1
due 1
dummy 1
eases 1
eats 1
either 1
en 1
encounter 3
encounters 1
enemy 1
enters 1
escalate 1
escape 1
escaped 1
evade 1
evening 1
everything 1
except 1
exchange 1
eye 1
eyeing 1
fallen 1
falls 1
familiar 1
farthest 1
fat 1
favors 1
feeling 3
fight 1
fighting 1
finally 1
fire 1
flee 2
floor 1
for 10
forth 1
from 6
frustrated 1
future 1
game 2
games 1
gang 28
gangrape 1
gangs 6
general 1
gets 2
girl 5
girlfriend 2
girlfriends 2
given 1
goes 2
going 1
grand 3
group 1
guilty 1
halfbrother 1
handgun 2
hangout 2
has 6
hat 1
hats 1
have 4
having 3
he 19
head 2
heading 1
heads 1
hear 1
hector 12
her 10
him 4
himself 1
hinton 20
hintons 1
his 9
hispanic 1
hits 1
holding 1
holds 1
home 4
homosexual 1
hours 1
huge 1
hunger 1
immigrant 1
impulsively 1
in 16
incessantly 1
individual 1
inexplicable 1
inside 1
insignia 3
instructions 1
insulting 1
insults 2
interest 1
interested 1
into 7
involving 1
is 8
island 4
ismael 6
it 6
job 1
jocks 2
journey 1
july 1
jump 1
jumping 3
jumps 1
junior 6
junkie 1
just 1
keep 1
killing 2
knack 1
knife 1
knows 1
large 1
largest 1
later 1
lead 1
leader 7
leading 1
levelheaded 1
life 1
like 1
lived 1
lords 3
lunkface 10
lures 1
made 1
make 1
man 3
manhood 3
many 1
mascot 1
meet 1
meeting 3
meets 1
member 3
members 2
mentions 1
mercedes 1
message 1
midst 1
minnie 1
moment 1
money 1
mood 1
moral 1
more 2
most 2
mother 1
mouth 1
mural 1
must 1
nearly 1
needs 1
neglected 1
neighborhood 1
new 2
niggers 1
none 1
norbert 1
not 3
novel 6
now 1
nurse 1
of 29
off 9
offering 1
older 1
on 13
one 2
ones 1
only 1
onto 2
or 1
other 3
others 1
otherwise 1
out 8
outranks 1
outsider 1
over 2
overcome 1
overpower 1
pair 1
papa 2
park 2
parley 1
party 1
passage 2
passes 2
passing 1
peaceoffering 2
per 1
performed 1
piece 1
