7347634
/m/025zv4g
/m/025zv4g
David Malouf
1981
a 12
above 1
after 1
again 1
allconsuming 1
also 2
amid 1
among 1
an 8
anctuary 1
and 13
another 1
are 1
arrival 1
as 3
ashley 3
assaulted 1
at 3
attack 1
australian 1
away 1
barely 1
beautiful 1
beauty 1
before 1
befriends 1
begins 1
behind 1
bird 1
birds 2
blasted 1
blood 1
blown 1
bond 1
both 1
breaks 1
but 2
by 2
captures 1
central 1
change 1
character 1
clancy 1
class 1
close 1
coast 2
coated 1
comings 1
communities 1
confronts 1
continue 1
continuity 1
crosses 1
crows 1
crowther 1
death 2
description 1
despite 1
detail 1
die 1
dies 2
different 1
dirt 1
disturbance 1
divide 1
division 1
dreamlike 1
during 1
dying 1
end 1
enter 1
eric 1
estuary 2
exact 1
existence 1
experience 2
explicit 1
farm 1
farming 1
feels 1
first 3
fly 1
form 1
friend 1
friends 2
front 5
gives 1
goes 1
goings 1
gold 1
grieves 1
gruesome 1
gutwrenching 1
has 1
he 4
his 7
home 1
horrific 1
ibises 1
idyllic 1
imogen 2
in 8
includes 1
including 1
inherited 1
interrupted 1
is 10
jim 10
job 1
join 1
journey 1
keep 1
lands 1
later 1
legs 1
life 3
lines 1
livelihood 1
living 1
local 1
loses 1
made 1
make 1
making 1
malouf 1
man 3
many 1
mayhem 1
meaningless 1
men 1
migration 1
near 1
not 2
novel 4
obliged 1
of 23
offers 1
officer 1
old 1
older 1
on 4
other 1
out 3
over 1
own 1
part 2
particular 1
paths 1
patterns 1
perception 1
peter 1
photography 1
planting 1
plovers 1
poetic 1
point 1
profound 1
queensland 2
reader 2
realities 1
recently 1
record 1
recording 1
recruit 1
reflects 1
saddler 1
sanctuary 1
sandpiper 1
sandpipers 1
second 1
seeds 1
sees 2
selfcontained 1
sense 1
sensitive 1
set 2
shell 1
shellhole 1
subjectivity 1
subsequently 1
the 40
their 4
this 1
to 5
top 1
travels 1
trench 1
trying 1
two 1
understanding 1
uneventful 1
unexpectedly 1
unique 1
up 1
violence 1
war 3
warden 1
warfare 1
western 2
when 3
where 1
which 1
who 3
whose 1
window 1
with 2
without 1
wizzer 1
woman 1
wood 1
world 3
wounded 1
wounds 1
young 3
ystem 1
