5928939
/m/0fd_q3
/m/0fd_q3
Jonathan Kellerman

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
350000 1
a 5
acquaintance 1
after 1
alex 5
along 1
an 2
and 9
around 1
arranged 1
ask 1
attend 1
back 1
beach 1
ben 1
body 1
boy 1
brother 1
business 1
by 2
call 1
can 1
case 1
cheryl 2
college 1
connections 1
considering 1
contacts 1
coworker 1
coworkers 1
dead 1
dugger 1
duke 2
earned 1
employers 1
ends 1
expatient 1
experiment 1
exwife 1
far 1
find 2
flirt 1
follow 1
former 2
from 2
gets 1
had 3
he 1
her 4
him 1
husband 1
if 1
in 1
intimacy 1
into 1
investigation 1
invited 1
is 3
it 1
kayaking 1
killed 1
killer 1
know 1
lauren 4
makes 1
mansion 1
milo 2
missing 1
mother 2
mugging 1
murder 2
near 1
no 1
of 3
ordinary 1
out 1
parents 1
part 1
person 1
presumably 1
probably 1
prostitution 1
receives 1
recently 1
rendezvous 1
rescues 1
roommates 1
saved 2
see 1
she 1
shoots 1
shows 1
speaking 1
started 1
swum 1
teague 1
that 1
the 7
them 1
then 1
they 5
this 1
to 3
too 1
turns 2
unresolved 1
up 4
visit 1
was 2
when 2
while 1
who 1
