8168070
/m/026v0p5
/m/026v0p5
Fyodor Dostoyevsky
1849
{"/m/05hgj": "Novel"}
a 2
about 1
abruptly 1
adopted 1
an 1
and 3
become 1
becomes 2
before 1
by 1
day 1
eight 1
ends 2
extreme 1
family 1
figure 1
for 1
forced 1
girl 1
girls 1
her 4
however 1
in 2
infatuated 1
inseparable 1
instantly 1
is 3
katya 3
leave 1
life 1
lives 1
living 1
meets 1
moscow 1
mother 1
netochka 1
new 2
next 1
of 1
older 1
one 1
orphan 1
parents 1
petersburg 1
poverty 1
reunite 1
saint 1
she 2
sister 1
soon 1
sorrowful 1
stepsister 1
story 2
the 6
to 2
two 2
up 1
upperclass 1
wealthy 1
when 1
who 2
with 3
years 1
young 1
