606612
/m/02vx2n
/m/02vx2n
Christopher Paolini
2002
a 33
able 3
about 3
accompanied 1
action 1
adds 1
advantage 1
advice 1
after 5
again 1
against 1
ago 1
ajihad 5
alagasia 1
allow 1
also 4
although 1
ambushed 1
among 1
an 6
ancient 1
and 36
angela 2
appear 1
appointed 1
are 9
army 1
arrive 1
arrived 1
arrow 2
arya 8
as 4
at 1
attention 1
avenged 1
baby 1
back 1
battle 3
be 5
because 1
becomes 2
been 2
before 1
begin 1
begins 1
believes 1
between 2
blue 1
bond 1
book 1
both 1
boy 1
break 1
breaks 1
bring 1
brom 8
burned 1
but 6
by 11
called 5
camp 1
can 1
captivity 1
capture 2
captured 2
carrying 1
carvahall 3
cathedral 1
ceiling 1
cell 1
chamber 1
city 5
cloud 1
come 2
companion 2
contacts 2
counterattack 1
cousin 1
cripple 1
cure 1
daughter 1
days 1
death 3
deployed 1
describing 1
destroyed 1
destruction 1
determine 1
die 2
dies 2
directions 1
disappears 1
discovers 2
distracted 1
diverted 1
down 1
downfall 1
dr 3
dragon 9
drasleona 1
dreams 1
driven 1
du 1
during 2
durza 9
dwarf 1
dwarves 1
egg 4
elderly 1
elf 4
elves 3
encounter 1
encounters 1
enormous 1
enough 1
entrance 1
eragon 32
escape 3
escapes 1
escaping 1
escort 1
evil 1
exact 1
eyes 1
faces 1
farm 2
farthen 3
fatally 1
female 2
few 1
fifteenyearold 1
fight 1
fighting 1
find 2
flee 1
foe 1
following 1
for 4
forced 1
forcing 1
forest 2
fornsworn 1
forsworn 1
fortune 1
four 1
friend 2
from 2
front 1
galbatorix 5
garrow 3
gilead 2
give 1
gives 1
go 1
goes 1
gravely 2
group 3
guide 1
had 1
hand 1
has 1
hatch 1
have 2
having 2
he 15
heart 2
help 4
helping 1
her 4
hiding 1
him 6
his 8
holds 1
hollow 1
home 1
horned 1
house 1
how 1
hrothgar 2
huge 1
humanoids 1
hundred 1
hunting 1
if 1
imminent 1
imprisoned 1
imprisons 1
in 19
infiltrate 1
information 1
injured 1
insists 1
into 1
introduces 1
invasion 1
is 29
isidar 1
jail 1
jeod 2
journey 1
jrmundur 1
jumps 1
kill 2
killed 3
king 2
knowing 1
known 1
kull 2
language 1
large 1
larger 1
last 1
later 3
leader 1
led 1
left 1
life 1
lives 1
location 1
long 1
looking 1
magic 1
magically 1
magicians 1
make 1
male 2
man 1
manage 2
meet 1
meets 1
mind 1
mist 1
mithrim 1
months 1
morzan 3
mountain 2
murtagh 10
mysterious 1
name 2
named 3
names 1
nasuada 1
near 2
nephew 1
new 2
night 1
no 1
normal 1
not 1
notices 1
nowdead 1
of 22
off 3
on 7
once 1
one 1
only 4
opportunity 1
or 2
orik 2
other 1
out 1
outside 1
pitted 1
place 1
placed 2
poisoned 1
possessed 1
possession 1
potion 1
prison 1
prologue 1
provides 1
raises 1
range 1
razac 6
reach 2
read 1
reason 1
rebels 1
refuses 1
released 1
rescue 1
rescues 1
rest 1
revealed 2
reveals 2
rider 3
riders 2
right 2
roran 1
runs 1
same 1
saphira 10
sapphire 1
save 1
search 1
secret 1
see 2
seeking 1
sentient 1
servants 1
shade 4
she 7
shoots 1
shows 1
sits 1
so 1
solembum 2
some 1
someone 1
son 1
sorcerer 1
southern 1
spell 1
spine 3
spirits 1
stab 2
stage 1
star 1
starts 1
stay 2
stone 2
stopping 1
storyteller 1
stranger 1
surprised 1
sword 2
take 1
teaches 1
teirm 1
telepathically 2
telling 1
tells 2
tested 1
than 2
that 11
the 80
their 2
them 7
themselves 1
then 2
they 7
this 2
three 1
through 1
to 44
told 2
track 1
training 1
transports 1
travel 1
traveling 1
travels 1
tronjheim 2
twelve 1
twins 1
two 4
uncle 2
unconscious 3
unit 1
until 1
urgals 6
used 1
varden 12
vengeance 1
village 1
visits 1
want 1
was 4
way 2
ways 1
weldenvarden 1
well 2
werecat 1
when 3
where 1
which 4
while 4
who 8
whole 1
will 1
witch 1
with 15
witnesses 1
woman 1
wounded 2
wrath 1
years 1
zarroc 2
