1290331
/m/04qfm5
/m/04qfm5
Françoise Sagan
1954
{"/m/05hgj": "Novel"}
17 1
a 9
about 1
accepts 1
admires 1
affairs 1
after 1
age 2
amoral 1
an 4
and 18
anne 12
announce 1
apparent 1
appear 1
are 1
arranges 1
arrives 1
as 2
at 3
attempting 1
attentions 1
attract 1
away 1
back 1
base 1
be 1
before 1
begins 2
believed 1
between 2
but 3
by 2
car 1
carefree 1
ccile 12
clear 1
cliff 1
colour 1
comes 1
could 1
couple 1
cultured 1
cyril 3
decides 1
desperate 1
desultory 1
devises 1
different 1
disguise 1
dissatisfying 1
do 1
drive 1
earlier 1
educated 1
elsa 8
empty 1
enter 1
eventually 1
excuses 1
exit 1
fairly 1
fashionable 1
father 6
finally 1
first 1
focus 1
for 4
french 1
friend 2
from 2
get 1
girlfriends 1
goes 1
had 1
has 3
have 1
he 1
hell 1
her 10
his 4
hopes 1
i 2
if 1
impending 1
in 5
intelligent 1
interrupted 1
into 1
invitation 1
is 12
it 3
jealous 2
kissing 1
known 1
larsen 1
late 1
later 1
latest 2
leave 1
leaves 2
life 5
lifestyle 2
living 1
love 1
mackenbourg 1
making 1
man 2
many 2
marriage 2
meets 1
men 1
misjudges 1
mistress 1
modern 1
moments 1
morning 1
mother 1
my 1
naive 1
next 1
note 1
of 8
off 1
on 4
only 2
oscar 1
other 1
persists 1
philandering 1
plan 1
plot 1
pretend 1
prevent 1
principled 1
quickly 1
quote 1
raymond 13
realizing 1
recognize 1
relationship 2
relents 1
results 1
return 1
riviera 1
romantic 1
same 1
says 1
seductive 1
see 1
seen 1
sees 1
sensitivity 1
seventeenyearold 1
shared 1
she 9
sin 2
so 1
somewhat 1
soon 1
specific 1
spend 1
spending 1
spends 1
still 1
struggle 1
suicide 1
summer 4
superficial 1
that 6
the 16
their 4
they 2
this 1
to 13
together 3
town 1
tragic 1
tries 1
two 1
typical 1
ultimately 1
uneventful 1
unsuccessful 1
until 2
very 1
villa 2
vivid 1
wants 1
way 1
well 1
were 2
when 2
who 1
whom 2
wilde 1
will 1
with 6
woman 1
women 2
woods 1
world 1
worldly 1
young 1
younger 1
