32096841
/m/0gw_ngy
/m/0gw_ngy
Abdul Muis
1932
a 14
accept 1
accepts 1
after 2
afterwards 1
again 1
agree 1
already 1
amat 1
and 10
are 2
arrested 1
arrival 1
as 3
asked 1
at 2
bangsawan 2
bankrupt 1
because 2
becomes 2
been 1
being 2
bidara 1
boyfriend 1
brought 1
business 1
but 2
by 2
chalk 1
chineseindonesian 1
cimahi 1
cina 1
closer 1
contact 1
couple 2
daughterinlaw 1
day 1
decides 1
declared 1
descent 1
disappointed 1
discharged 1
drop 1
drowning 1
dutch 1
escape 1
escorts 1
fails 1
falls 1
father 1
few 1
find 2
for 5
forget 1
from 3
fully 1
go 1
graduated 1
grow 1
has 3
have 1
he 1
healed 1
hearing 1
her 10
hires 1
hospital 2
however 2
in 2
inadvertently 1
innocent 1
into 1
is 8
jealous 1
jene 2
jewelry 2
job 1
keep 1
later 2
lawyer 2
leaves 1
long 1
looking 1
luggage 1
maid 1
maids 1
mail 1
manners 1
married 1
medical 2
meet 1
meets 1
mistress 1
months 1
mother 1
nearly 1
ningrum 1
not 2
nyai 1
of 4
office 1
on 1
once 1
one 1
other 1
out 1
parents 1
pavilion 1
pleased 1
plight 1
police 1
post 1
proposes 2
raden 1
ratna 14
rest 1
river 1
salesclerk 1
same 1
school 3
seat 1
seats 1
she 3
shown 1
spare 1
stole 1
stolen 1
student 2
sumedang 1
suparta 12
tedja 1
tells 1
that 1
the 7
their 1
then 1
there 2
they 2
to 14
train 1
treated 1
treats 1
tries 2
unwilling 1
upon 1
using 1
via 2
who 1
young 1
