657130
/m/02p2sds
/m/02p2sds
Patrick O'Brian
1979
{"/m/05ndg1r": "Naval adventure", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 16
abandon 1
abduction 1
aboard 1
about 3
admiral 4
after 2
again 1
against 1
agent 1
alice 1
almost 1
aloft 1
already 3
also 1
america 1
american 2
amiable 1
amidst 1
an 3
anatomical 1
anchor 1
and 34
apparent 1
apprises 1
aptly 1
are 4
argues 1
arm 1
arriving 1
as 2
ashore 1
at 5
atlantic 1
attempt 1
aubrey 10
b 1
back 1
badly 1
becomes 1
bedside 1
before 1
behaviour 1
between 1
blockade 1
board 2
boat 1
bombay 1
boston 2
both 3
brazil 1
breaks 1
brenton 1
brilliant 1
brings 1
britain 2
british 1
broke 1
but 2
by 4
cabin 1
captain 5
caught 1
challenging 1
chesapeake 1
childhood 1
choate 1
clash 1
clearly 1
coast 1
collection 1
colours 1
come 2
comes 1
coming 1
commanded 2
commander 2
comments 1
constitution 1
convalesces 1
conversation 2
cousin 1
crew 5
cricket 1
crown 1
custom 1
dealings 1
demonstrated 1
department 1
desolation 1
diana 4
dies 1
diminished 1
discovers 1
dissections 1
dr 2
drury 1
dubreuil 1
during 3
dutch 1
duty 1
east 1
end 1
enforced 1
engages 1
engrossed 1
enlisting 1
ensuing 1
entering 1
escape 2
escapes 1
evans 1
eventually 2
exchange 1
expectations 1
extensive 1
father 1
feels 1
fellow 1
few 2
fight 2
fire 1
first 1
fishing 1
flche 2
followed 1
folly 1
for 9
forced 1
foremast 1
former 1
franchon 1
free 1
french 3
frenchmen 1
friend 1
frigate 1
frigates 1
from 6
frustrated 1
game 1
gives 1
goes 1
great 1
grief 1
gun 2
guns 2
had 2
hails 1
hands 1
harbour 3
harry 1
has 4
have 1
having 1
he 5
headed 1
help 1
henry 1
her 2
herapath 2
high 1
hilariously 1
him 6
himself 1
his 11
hms 1
holland 1
hopes 1
horizon 1
hospital 1
hotel 1
hull 1
hurling 1
immediately 2
in 17
inactivity 1
indies 1
into 1
intrigues 1
involving 1
irish 1
is 6
island 1
its 3
jack 3
jahleel 1
java 1
javas 1
johnson 4
kills 1
known 1
la 2
laden 1
lambert 3
later 2
latter 1
lawrence 1
leaving 1
leopard 5
leopards 1
letter 1
library 1
limp 1
long 1
losing 1
lost 1
louisa 2
love 1
loyalist 1
lunatics 1
lying 1
makes 2
man 2
manages 1
maturin 11
mclean 1
meanwhile 2
meets 3
men 1
merchant 1
merchantman 1
michael 1
midshipmen 1
mistakes 1
mistress 1
mr 3
much 2
naturalist 1
naval 1
navy 2
need 1
new 1
news 2
next 1
night 1
now 3
ocean 1
of 25
off 1
officers 1
older 1
on 6
once 2
one 3
only 2
opened 1
out 3
outer 1
paramount 1
passenger 1
passengers 2
patient 1
persons 1
philip 1
picked 1
pontetcanet 2
portsmouth 1
practice 2
prepares 1
prevails 1
prime 1
prisoner 1
privilege 1
prize 1
process 1
progress 1
pursue 1
pursuit 1
quiz 1
reaches 1
reacquainted 1
realise 1
reduced 1
refit 1
regard 1
relinquishes 1
rendezvous 2
reports 1
resultant 1
return 2
reverts 1
risk 1
rooms 1
royal 1
sawyer 1
scottish 1
sea 1
searching 1
second 1
secretly 1
shannon 2
shannons 1
ship 6
shot 1
similar 1
slabsided 1
small 1
soon 1
south 1
specimens 1
spends 1
sport 1
spymaster 1
starts 1
stating 1
station 1
stephen 3
still 1
strike 1
strikes 1
successful 1
suitable 1
supplies 1
surgeon 2
survival 1
survive 1
sympathy 1
take 1
taken 1
taking 1
teaching 1
that 2
the 61
their 1
they 6
thirtyeight 2
this 1
three 1
time 1
to 21
towards 1
trading 1
transport 1
travelling 1
trouble 1
twenty 1
two 1
type 1
ugly 1
unawares 2
unhinged 1
unwittingly 1
up 4
us 1
vessels 1
victory 1
vigorously 1
villiers 2
visits 1
voyage 3
waiting 1
wallis 1
war 2
warms 1
was 1
watch 1
water 1
way 1
wealthy 1
weeks 1
weighing 1
wellread 1
when 3
which 2
while 1
whilst 1
who 5
william 1
with 13
wogan 2
wounded 1
wounds 2
writes 1
years 2
yorke 2
young 1
