7384912
/m/02601qw
/m/02601qw
Steven Pressfield

a 4
act 1
adapting 1
admiral 1
aegospotami 1
alcibiades 2
almost 1
an 1
ancient 1
and 8
appearing 1
as 3
at 1
athenian 1
athens 4
battle 1
between 1
career 2
character 3
come 1
contact 1
course 1
creation 1
defeat 1
dellegeo 1
describes 1
development 1
dialogue 1
dialogues 1
disastrous 1
downfall 1
during 4
epic 1
era 1
estate 1
eventual 1
expedition 1
extent 1
family 1
figures 1
for 1
general 2
genius 1
greatest 1
had 2
he 2
herself 1
his 7
history 1
however 1
hubris 1
impact 1
in 4
including 1
into 1
is 1
it 1
iti 1
itself 1
just 1
large 1
lesser 1
life 1
like 1
long 1
loomed 1
lysander 1
make 1
manifesting 1
many 1
marines 1
mercenary 1
most 4
narrative 1
nicias 1
novel 1
occurred 1
of 9
on 1
opinion 1
out 1
outside 1
over 1
own 1
particularly 1
partisan 1
peloponnesian 2
pericles 1
pivotal 1
plague 1
plato 1
played 1
polemidas 2
political 1
pressfields 1
prominently 1
public 1
quotes 1
several 1
shifts 1
sicilian 1
socrates 1
socratic 1
sources 1
sparta 1
spartan 1
speeches 1
statesmengeneral 1
tensions 1
that 2
the 21
through 2
thucydides 1
to 3
tragedy 1
travels 1
ultimate 1
undefeated 1
upbringing 1
used 1
venti 1
war 3
was 2
while 1
who 1
with 2
