12185816
/m/02vtnv1
/m/02vtnv1
Shannon Hale
2005-06-16
a 14
able 1
academy 7
acts 1
admitting 1
after 1
aged 1
alive 1
all 1
allowed 1
along 1
also 1
although 1
an 3
and 23
announce 1
announces 1
appease 1
are 1
around 1
arrangement 1
arrives 1
as 1
at 5
attack 1
attend 1
attendance 1
ball 1
bandits 2
barely 1
be 1
bearable 1
because 1
been 1
begins 1
between 2
bitter 1
blizzard 1
book 1
boy 1
bride 2
britta 3
but 1
call 1
can 1
childhood 1
choice 1
choose 1
chooses 1
choosing 1
close 2
come 2
comfortable 1
commerce 2
communication 1
community 2
competition 1
compulsory 1
contact 1
crown 1
culture 1
cut 2
dance 1
dances 1
danland 1
despite 2
diplomacy 1
disagreement 1
distant 1
each 1
eager 1
earn 1
education 1
end 1
ends 1
enough 1
escape 1
eskel 4
established 1
evening 1
eventually 2
every 2
excellence 1
excels 1
except 1
exists 1
explore 1
families 2
father 1
feed 1
feelings 2
feels 1
first 2
focused 1
for 4
form 1
fourteenyearold 1
friends 1
friendship 1
from 7
future 1
generally 1
girl 4
girls 5
had 1
has 3
have 1
having 1
he 3
hear 1
help 3
helps 1
her 9
his 1
hold 1
home 2
hoping 1
hostage 1
however 1
human 1
ill 1
in 10
including 2
informed 1
is 5
isolated 1
isolation 1
keeps 2
king 1
knowledge 3
known 1
lack 1
later 1
learning 1
leaves 1
left 1
life 2
like 1
linder 1
living 1
lowlander 1
lowlanders 2
lowlands 1
makes 1
marda 1
marry 1
mechanics 1
messenger 2
miri 11
more 2
mount 4
mountain 1
moved 1
must 1
named 1
names 1
nation 2
near 1
negotiate 1
never 1
new 3
next 1
no 1
of 15
off 1
official 1
olana 2
on 1
once 1
one 1
only 1
other 3
outcast 1
peder 3
peers 1
please 1
potential 1
prejudice 1
priests 1
prince 7
princess 4
princesses 1
privilege 1
promising 1
prosper 1
provided 1
province 1
quarry 5
quarryspeech 1
recently 1
rest 1
return 1
returns 1
seems 1
seventeen 1
shared 1
shares 1
she 3
shows 1
side 1
since 1
sister 1
some 1
speech 1
spend 1
spite 1
spring 2
strict 1
struggle 1
studies 1
takes 1
teacher 1
territory 1
that 4
the 61
their 4
themselves 1
they 1
this 1
through 1
title 1
to 20
toward 1
traders 1
trading 1
train 1
trying 1
tutor 2
twelve 1
unexpectedly 1
unspoken 1
use 2
used 1
usual 1
very 2
village 3
villagers 5
visit 1
visits 1
walk 1
weekly 1
who 3
whom 1
will 2
willingness 1
win 1
winter 1
with 12
without 1
work 1
working 1
year 1
