901697
/m/03n802
/m/03n802
José Saramago
1995
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 8
abandoned 2
acts 1
afflicting 1
after 3
allow 1
among 1
an 3
and 26
another 2
antipathetic 1
anxiety 1
apparent 1
are 2
armed 1
army 1
as 6
assigned 1
assorted 1
asylum 4
at 1
attempt 1
attempts 1
availability 1
bands 1
basic 1
battle 1
be 1
become 1
becomes 2
been 2
blind 2
blindness 5
break 1
breakdown 2
buildings 1
burn 1
by 5
cannot 1
cared 1
cause 1
caused 1
centers 1
central 1
chance 1
characters 2
chores 1
city 3
clique 1
conditions 2
contagion 1
contain 1
control 1
coping 1
crowd 1
deadly 1
degenerate 1
degrade 1
deliveries 1
delivery 2
deprivation 1
despair 1
devastated 1
disease 1
distributing 1
do 1
doctor 3
doctors 2
down 2
each 1
en 1
epidemic 1
escaped 1
establishing 1
etc 1
eventually 1
everyone 1
experiences 1
exposing 1
faced 1
fact 1
fairly 1
families 1
family 2
familylike 1
fearing 1
fellow 1
fight 1
filthy 1
find 2
first 3
follows 4
food 5
for 2
fortune 1
from 2
function 1
further 1
gains 1
good 1
government 2
group 1
guard 1
handful 1
has 2
have 2
helpless 1
her 2
hide 1
his 2
home 1
horrifically 1
human 1
husband 2
hygiene 1
impromptu 1
in 6
increasingly 2
inept 1
inexplicably 1
infected 1
infection 1
internees 5
irregularities 1
is 2
it 1
join 1
just 1
keep 1
lack 1
largely 1
law 1
lifts 1
lives 1
living 1
longer 1
look 1
make 1
mass 1
masse 1
measures 1
medicines 1
military 1
mirroring 1
misfortunes 1
morale 1
must 1
nature 1
near 1
nearly 2
new 2
no 1
novel 2
of 14
on 1
one 2
only 1
onset 1
or 1
order 4
organization 1
origin 1
other 2
others 1
out 1
outside 3
over 2
overcrowded 1
overwhelm 1
panic 1
part 1
patients 1
people 3
period 1
permanent 1
prevents 1
protagonists 1
quarantined 1
rape 1
rapidly 1
refuse 1
repressive 1
schools 1
scrounge 1
sees 1
separated 1
services 1
several 1
she 1
shoot 1
short 1
simple 1
so 1
social 3
society 2
soldier 1
soldiers 2
solidarity 1
squat 1
starvation 1
still 1
story 2
stricken 1
struck 1
subjugating 1
sudden 1
suddenly 1
survive 3
swiftly 1
that 4
the 39
their 5
them 1
then 1
they 2
this 2
though 1
threaten 1
throngs 1
thrown 1
to 12
together 2
total 1
undermine 1
unexplained 3
unit 1
unnamed 1
unravels 1
upon 1
very 1
via 1
violence 1
waiting 1
wander 1
wellbeing 1
when 1
where 1
which 1
who 3
widespread 1
wife 5
with 1
wits 1
