4210501
/m/0bq48z
/m/0bq48z
Anthony Frewin

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
137 1
15 1
163 1
8 1
a 10
about 2
accommodation 1
addition 1
adult 1
affair 1
after 1
along 1
already 1
also 2
amateur 1
an 2
and 11
any 3
anything 1
approached 1
are 4
as 4
at 3
attractively 1
bar 2
bayswater 1
be 2
become 2
behind 1
being 2
belonging 1
black 1
blue 1
books 1
bookshops 1
born 1
both 1
business 1
but 2
buys 1
by 5
camera 1
career 1
cheap 2
citizen 1
class 1
coast 1
colour 1
commissioned 1
company 1
confronted 1
contact 1
content 1
counter 1
crime 1
culturally 1
customers 1
death 1
decides 1
demand 1
dies 1
dirty 1
do 2
does 2
during 1
early 3
education 1
employer 1
encouraged 1
eventually 1
extra 1
fanatic 1
favourite 1
feels 1
figures 1
finds 2
for 3
foreign 2
formal 1
forties 1
girlfriend 1
go 1
going 1
good 2
guests 1
has 3
haunted 1
have 1
he 16
her 2
him 1
himself 3
his 12
home 1
however 1
illegal 1
illegitimate 1
imports 1
in 17
industry 1
initiated 1
intellectual 2
interested 1
into 1
is 17
it 2
jazz 1
job 1
keeps 1
kentish 1
key 1
kind 1
know 1
later 2
leading 1
left 1
life 1
lifestyle 1
like 1
london 3
made 1
magazines 1
makes 1
man 1
many 1
meets 1
men 1
middle 1
middleaged 1
mm 1
models 1
money 3
monk 1
more 1
move 1
moved 1
movie 2
movies 1
musician 1
nature 1
new 1
not 4
now 1
of 10
offered 1
old 1
older 1
on 4
one 3
only 1
or 2
origin 1
out 1
over 1
owner 1
parties 2
past 1
petty 1
photographer 1
photographic 1
photography 1
pictures 1
picturesmdashwhich 1
place 1
politically 1
pornographic 2
private 1
profumo 1
projectionist 1
purdom 8
pursuits 1
quite 1
rather 1
reads 1
reduced 1
referred 1
regulars 1
respectable 1
scandinavian 1
sense 1
serious 1
sessions 1
shady 1
shooting 1
shortlived 1
shorts 1
shown 1
small 1
snack 2
soho 1
sold 1
some 4
son 1
starts 1
stay 1
stephen 1
suddenly 1
supplies 1
tags 1
taken 1
than 1
that 3
the 18
thelonious 1
then 2
those 1
through 1
tim 1
time 1
timemdashare 1
to 9
together 1
told 1
town 1
turns 1
unambitious 1
under 1
up 1
upper 1
very 1
village 1
ward 2
were 1
what 2
when 2
where 3
which 2
white 1
who 5
will 1
with 7
without 1
woman 1
women 1
work 1
working 1
workmates 1
works 1
world 2
young 2
