4844864
/m/0cqn3k
/m/0cqn3k
Jerry Pournelle
1980
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
1th 1
400 1
a 34
acceptmackinnie 1
access 1
action 1
actions 1
admit 1
admitted 1
advanced 2
after 2
again 1
against 1
agents 1
all 1
allied 1
allows 1
also 1
although 2
ambitions 1
an 5
and 22
any 1
archives 1
are 10
arming 1
army 2
around 2
arrive 1
artifacts 1
as 8
assassination 1
assimilation 1
association 1
at 2
attempt 1
authorities 1
back 2
barbarian 1
barbarians 2
batav 1
battle 3
be 5
become 2
been 1
behind 1
being 1
benefited 1
besieged 1
blathern 1
blockaded 1
board 2
boast 1
bombed 1
broken 1
broker 1
build 2
built 1
but 7
buys 1
by 10
called 1
campaign 2
can 4
cannon 1
cannot 1
captain 1
carve 1
century 1
chain 1
choice 1
chosen 1
churchmen 1
citizen 1
citizens 1
city 5
citystate 1
clear 1
clergymen 1
clerics 1
cohort 1
collars 1
collection 1
colonel 2
colony 1
commander 1
company 2
conquered 1
conquering 1
control 1
convinces 1
coup 1
created 1
crew 1
cubes 2
david 2
decisive 1
defeat 2
defeated 1
defeats 1
defense 1
designs 1
desire 1
desperate 2
detonating 1
development 1
disguised 2
disposed 1
disrupt 1
does 1
dougal 7
drinking 1
drunken 1
during 1
education 1
eidetic 1
embarked 1
embarrassed 1
empire 13
enough 1
entire 2
europe 1
even 1
eventually 1
exact 1
exiled 1
expansionist 1
expedition 1
failed 2
famous 2
faster 1
few 2
fiance 2
fieldweapons 1
find 1
firing 1
first 2
fools 1
for 10
forced 1
forces 1
forceusing 1
found 1
friend 1
from 2
futureand 1
gave 1
get 2
giving 1
gladly 1
goddard 1
going 1
governed 1
grateful 1
guards 1
guide 1
had 2
hal 1
has 8
have 8
haven 17
havenites 2
having 3
he 10
heard 1
heavily 1
help 4
hidden 1
high 1
higher 1
highexplosive 1
him 1
his 8
home 2
hordes 1
horse 1
horsemen 1
however 2
ideal 1
if 2
illegal 1
imperial 7
imperials 1
in 15
including 1
indeed 1
indonesian 1
information 2
install 1
intelligent 1
interfering 1
intervention 1
into 4
introduced 1
introduction 1
is 15
isolation 1
it 6
its 1
killing 1
king 2
kingdom 1
knowledge 3
later 1
launch 1
law 1
leader 1
leaders 2
learn 1
leaveand 1
leaving 2
leeboards 2
left 1
leg 1
let 1
level 1
little 1
local 1
located 2
lord 1
lost 1
lovers 1
lure 1
mackinnie 16
made 1
mail 1
makassar 10
malcolm 1
man 1
maneuvers 1
many 1
mary 5
masterful 1
matter 1
may 1
mckinnie 1
measure 1
memorize 1
memory 2
men 1
merchant 2
missionaries 2
months 1
more 1
most 4
motive 1
much 2
muslims 1
must 2
name 2
nathan 1
navy 3
need 1
never 1
new 5
newfound 1
no 3
of 32
off 1
offers 1
officer 2
offworlders 1
old 2
on 6
once 1
one 3
only 2
opens 1
opportunity 1
orbit 1
orderly 1
origin 1
originally 1
orleans 4
other 1
otherwise 1
out 3
outruns 1
outsiders 1
outworlders 1
overhears 1
pass 1
passengers 1
paying 1
pensioned 1
people 1
persuade 1
petition 1
physicist 1
pilot 1
pioneers 1
pirate 1
pirates 1
planet 9
planets 1
played 1
police 1
political 1
port 1
power 1
presence 1
pretext 2
price 1
priests 2
primitive 4
prince 4
propulsion 1
provide 1
provided 1
punished 1
purpose 1
quite 1
rapid 1
reaches 1
reaching 1
readers 1
recruit 1
recruits 1
reduced 1
reenter 1
refits 1
religious 1
remains 1
remarks 1
representatives 1
republic 1
requests 2
rescue 1
resent 1
restricted 1
resulting 1
retinue 1
return 2
returning 2
robert 1
ruled 1
sail 1
sailing 1
samual 4
samualites 1
secession 1
second 6
secret 1
see 2
seen 1
selfgoverning 2
sergeant 1
seriously 1
serve 1
shells 1
shields 1
ship 9
ships 2
situation 1
skeptical 1
society 1
solution 1
somewhere 1
soon 1
space 1
spaceship 2
spent 1
stark 3
status 2
storage 1
store 1
stranded 2
such 1
suicidal 1
superior 2
supportive 1
surrender 1
suspicious 1
swords 1
system 1
tactics 2
take 1
taken 1
tavern 2
technological 2
technology 3
tell 1
tells 1
temple 4
terms 2
than 2
that 8
the 82
their 5
them 4
themselves 1
then 1
there 2
thereafter 1
they 9
those 2
time 2
to 33
too 1
top 1
tour 1
trade 1
traders 3
travel 3
trek 1
trip 1
triumph 1
troops 2
try 1
two 1
uncovered 1
under 2
unexpectedly 1
unifying 1
university 1
unlikely 1
unprofitable 1
unsuccessful 1
unusually 1
use 1
used 1
uses 1
using 2
utilizing 1
vacuum 1
vast 1
veteran 1
waiting 1
wanted 1
wares 1
wars 1
was 4
well 1
what 1
when 1
where 2
which 3
while 3
who 2
will 4
willing 2
wipe 1
with 15
without 1
witnesses 1
woman 1
won 1
works 1
world 7
would 2
years 1
young 1
