214301
/m/01fd5q
/m/01fd5q
John Fowles
1963
a 12
abducting 1
able 1
about 2
actions 1
add 1
admired 1
admires 1
affections 1
after 6
again 2
all 1
also 1
always 1
an 2
and 19
angry 1
announcement 1
another 1
any 3
anything 1
appear 1
are 2
art 3
artist 1
as 5
at 5
attempt 1
attempts 1
be 2
because 2
becomes 2
before 1
beginning 1
begins 1
beings 1
better 1
books 1
but 5
butterflies 1
buy 1
by 3
caliban 1
can 1
cant 1
captive 1
captivity 1
captor 1
careful 1
cellar 2
character 1
chloroform 1
city 1
clegg 12
clerk 1
cold 1
collection 1
collects 1
comforts 1
commit 1
comparing 1
condition 1
confined 1
confronts 1
confused 1
contact 3
convince 1
convinced 1
countryside 1
day 1
death 1
decides 3
diary 3
dies 1
discusses 1
distance 1
do 1
does 1
doing 1
drugging 1
during 1
either 1
embarrassed 1
emotionless 1
ends 1
enough 1
entries 1
escape 2
eventual 1
every 2
failed 1
fantasize 1
feels 1
fell 1
ferdinand 1
fine 1
first 4
football 1
for 3
form 1
fowles 1
fragments 1
frederick 1
from 4
further 1
genuine 1
gifts 1
girl 1
go 3
god 1
gp 2
great 1
greatly 1
grey 1
grow 1
hall 1
has 1
have 1
he 16
her 26
him 10
his 13
home 1
hope 1
hopeless 1
house 2
however 3
human 1
humanity 1
if 1
ill 1
in 14
incapable 1
intimacy 1
is 14
isolated 1
issues 1
it 1
keeps 3
kidnap 1
kidnaps 1
kill 1
killing 1
language 1
large 1
learns 1
leave 1
let 3
level 1
life 1
locks 1
lonely 2
long 1
love 3
loved 1
lower 1
make 2
makes 1
man 2
many 1
middleclass 1
miranda 14
molest 1
month 1
motives 2
name 1
named 1
narrated 2
nature 1
never 1
nonexistent 1
normal 2
not 4
novel 5
number 1
objects 1
obsessed 1
obsession 1
of 20
off 1
offended 1
on 1
one 2
only 1
or 1
order 1
other 1
over 1
pains 1
part 3
passes 1
petrified 1
phase 1
philosophical 1
pity 1
plan 1
plans 1
play 1
pledging 1
point 1
pools 1
possible 1
preparations 1
pretty 1
previous 1
prize 1
promises 2
rationalizes 1
reads 1
real 1
realises 1
reasonable 1
reflections 1
refrains 1
refusing 1
relating 1
reminisces 1
respect 1
respected 1
responsible 1
result 1
revealed 1
reveals 1
scares 1
school 1
second 1
section 1
seduce 1
seems 1
selfloathing 1
seriously 1
several 1
severed 1
sexual 1
sexually 1
shakespeare 1
sharing 1
she 15
show 1
shower 1
sister 1
skills 1
slade 1
so 2
social 1
some 2
spare 1
start 1
starts 2
step 1
stop 2
story 1
student 1
subsequently 1
such 2
suggestion 1
suicide 1
takes 1
tells 2
tempest 2
that 12
the 24
them 1
then 1
thinks 1
third 1
this 3
through 2
throughout 1
time 2
times 1
to 32
tries 2
true 2
truly 1
try 1
ultimately 1
unable 2
understand 1
up 2
view 1
wakes 1
wants 2
when 2
who 1
whom 1
will 2
winner 1
wins 1
with 11
without 1
working 1
works 1
would 1
written 1
young 1
