355869
/m/01zw38
/m/01zw38
Nevil Shute
1950
a 30
absolutely 1
acts 1
actual 1
advisor 1
age 1
aged 1
alice 3
all 1
allow 1
also 2
an 6
and 26
anomaly 1
another 1
are 3
arranges 1
arrested 1
as 3
ask 1
assumption 1
at 3
australia 3
australian 2
avoid 1
awaiting 1
away 1
back 2
bailed 1
barriers 1
be 1
beaten 1
become 2
been 1
before 1
being 1
believe 1
believing 1
bigger 1
blame 1
book 1
breaks 1
broadly 1
build 3
built 1
businesses 1
but 5
by 7
carrying 1
cattle 1
chance 1
chickens 1
children 1
cities 1
closes 2
collect 1
commander 1
community 1
complications 1
considerable 1
correct 1
cow 1
crocodile 1
crocodiles 1
crucified 1
dead 1
decides 3
decisive 1
declines 1
described 1
develop 1
die 2
died 1
dies 1
disappointed 1
discovers 2
does 1
done 1
down 1
driving 1
drunk 1
during 1
east 1
economic 1
elsewhere 1
ends 1
england 2
entrepreneurship 1
experiences 1
factory 1
fair 1
falls 1
far 2
few 1
fictional 1
find 3
finds 1
firm 2
flashes 1
fluently 1
followed 1
food 1
for 8
founding 1
friendship 1
from 6
future 1
gets 2
gift 1
girls 1
given 1
gives 1
godfather 1
goes 1
gold 1
gone 1
goods 1
great 1
group 4
guard 1
guide 1
harman 5
has 8
have 2
having 1
he 12
headman 1
help 3
helped 1
her 8
him 1
his 5
home 2
how 1
hunted 1
icecream 1
idea 1
ii 1
impact 1
impressed 1
in 19
income 1
increasingly 1
informed 1
inheritance 1
inherited 2
inherits 1
injured 1
interest 2
intimates 1
into 2
invaded 1
invest 1
investigated 1
invitation 1
invite 1
is 17
it 1
its 1
japanese 6
jean 17
joe 9
knew 1
labour 1
later 1
leading 1
leads 1
learns 2
least 1
leather 1
leathergoods 1
leave 1
left 1
life 3
like 1
live 1
lived 1
local 3
london 2
lottery 1
luxury 1
made 1
make 2
making 1
malay 1
malaya 2
malayan 2
manager 1
many 2
march 1
marched 1
married 2
may 1
meanwhile 1
medicines 1
meets 1
met 1
money 6
most 1
mother 1
much 1
name 1
never 2
noel 5
not 3
novel 1
now 2
occasion 1
of 21
office 1
on 4
one 2
only 1
originally 1
other 1
out 1
outback 3
own 1
paget 1
paper 1
parlour 1
part 3
parts 1
personal 1
persuades 2
physical 1
pilot 1
pool 1
postworld 1
primitive 1
priority 1
prisoner 2
prisoners 1
produced 1
public 1
punishment 1
quality 2
queensland 1
receive 1
refuse 1
releases 1
repatriate 1
repatriated 1
rescuing 1
responsibility 1
rest 1
return 2
returned 1
returning 1
returns 1
revealing 1
reveals 1
role 1
rugged 1
rush 1
satisfied 1
save 1
second 2
secretary 1
see 2
sergeant 1
several 1
she 18
ship 1
shoes 1
shops 1
shows 1
site 1
six 1
skins 1
so 2
soldier 1
soldiers 1
sole 1
solicitor 2
son 1
soon 1
speaks 1
springs 1
starts 1
station 1
staying 1
steals 2
stockman 1
story 3
strachan 9
strange 1
strike 1
string 1
sum 1
surprise 1
survived 2
swimming 1
taken 1
takes 2
that 14
the 56
thefts 1
their 2
them 4
then 1
there 3
they 4
third 1
thirtyfive 1
this 2
three 2
time 1
to 37
toddler 1
together 1
told 1
town 4
travel 2
traveling 1
travels 3
truck 1
trustee 1
uncle 1
until 2
up 1
use 1
used 1
using 1
very 1
village 5
visiting 1
visits 1
walk 1
wants 1
war 5
was 4
water 1
way 1
wealthy 1
well 4
what 1
when 2
where 3
whereabouts 1
which 2
while 2
who 3
whom 1
whose 1
will 1
willstown 5
with 7
without 1
woman 2
women 7
won 1
work 2
worked 1
working 1
workshop 2
years 3
young 2
