14126167
/m/03cvd9j
/m/03cvd9j
Mickey Spillane

a 5
accident 1
an 1
and 4
apparent 1
appears 1
believe 1
but 1
by 1
conversation 1
day 1
dead 1
deals 1
despite 1
diner 1
does 1
down 1
fear 1
found 1
get 1
gives 1
hammer 1
hassled 1
he 2
her 2
him 1
hitandrun 1
hunt 1
in 3
is 2
job 1
know 1
leaves 1
little 1
man 1
massive 1
meeting 1
mike 3
money 1
murderers 1
new 1
next 1
not 1
of 1
powerful 1
proceeds 1
process 1
prostitute 1
prostitution 1
real 1
redheaded 1
ring 1
she 3
some 1
starts 1
story 1
swiftly 1
the 4
this 1
to 3
uncovers 1
victim 1
with 2
york 1
