2292805
/m/071fhj
/m/071fhj
Agatha Christie
1957-11-04
{"/m/0463v20": "Cozy", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
140 1
a 18
about 1
abuts 1
acquaintance 1
advantages 1
after 3
afternoontea 1
again 1
alexander 3
alfred 4
all 1
also 1
although 1
among 1
amongst 1
an 4
and 20
anna 1
another 1
antiques 1
any 1
appear 1
are 2
arranges 1
arrive 1
arsenic 1
as 9
ascertain 1
ask 1
assist 1
at 3
ballet 1
banker 1
be 10
been 2
before 3
begins 1
being 4
believes 1
biscuits 1
black 1
blind 1
body 3
bohemian 1
brother 1
bryan 1
built 1
business 1
but 4
by 6
cannot 1
capital 1
care 1
case 1
catholic 1
cedric 1
characters 1
children 2
choke 1
claiming 1
claims 1
clothing 1
cocktail 1
cold 1
collection 1
come 1
community 1
comparison 1
compartments 1
complement 1
completed 1
conclude 1
concluded 1
considerable 1
contain 1
correctly 1
could 2
crackenthorpe 5
cries 1
curry 2
dancer 1
daughter 1
day 1
days 2
dealings 1
death 3
decided 1
delivery 1
devout 1
died 4
dies 2
displayed 1
divided 1
divorce 1
do 1
doctor 1
dr 4
dubious 1
dunkirk 1
during 1
earlier 1
eastley 1
eating 1
edith 2
edmund 5
eldest 2
eliminated 2
elspeth 1
emma 4
engage 1
england 1
enough 1
enters 1
entitle 1
equally 1
estate 1
eventually 2
evidence 1
excuse 1
eyelesbarrow 1
facts 1
family 3
fateful 1
father 1
finds 1
first 1
fishbone 1
fishpaste 1
flies 1
for 2
fortune 4
found 1
four 1
free 1
french 3
friend 2
from 5
geography 1
girl 1
golf 1
grounds 3
had 8
hall 5
hands 1
harold 3
has 4
have 2
he 8
health 1
heirs 3
hence 1
her 9
hidden 2
him 6
his 7
home 2
house 2
housekeeper 1
however 1
ibiza 1
identify 1
if 1
ii 1
ill 1
impending 1
in 12
income 1
inherited 1
inheriting 1
instructed 1
intended 1
invited 1
involved 1
is 18
issue 1
it 4
itself 1
james 1
jane 1
josiah 4
kill 1
known 1
lady 1
later 3
lavatory 1
lead 1
left 1
letter 2
life 1
lives 2
local 1
location 1
london 1
looks 1
lover 1
lucy 4
luther 10
made 1
man 1
manufacture 1
many 1
marple 8
marriage 1
married 2
marry 3
martine 5
mcgillicuddy 4
mdash 1
medicine 1
merely 1
miss 7
moment 1
more 1
mother 1
moves 1
mrs 3
murder 2
murdered 2
murderer 1
name 1
need 1
no 1
not 4
now 2
of 22
officer 1
old 2
on 5
once 1
one 3
only 2
or 1
other 1
out 1
overdose 1
paid 1
painter 1
parallel 1
parentage 1
passes 1
per 1
pills 1
poisoned 4
police 3
pose 1
possible 1
practice 1
pregnant 1
prescribed 1
preserve 1
professional 1
prove 1
proves 1
purporting 1
purveyor 1
qualities 1
quimper 4
railway 1
real 1
received 1
receives 1
recognise 1
refused 1
remaining 1
retreat 1
returning 1
reveals 1
romantically 1
room 1
running 1
rutherford 5
same 1
sample 1
sandwich 1
sarcophagus 2
saw 1
schoolfriend 1
scotland 1
search 1
secretly 1
seems 1
sees 2
sell 1
semiinvalid 1
sent 2
settling 1
shady 1
she 13
sheep 1
shielded 1
should 1
similar 1
sleeping 1
so 6
soe 1
some 2
son 4
soon 1
spendthrift 1
spinster 1
stables 1
stoddartwest 2
story 1
strangled 1
stravinska 1
stuck 1
stuffy 1
suddenly 2
surrounding 1
surviving 1
tablets 1
take 1
takes 2
task 1
tea 2
tells 1
tested 1
that 12
the 56
their 2
them 1
then 2
there 2
they 3
this 1
throat 2
thus 1
timetable 1
to 39
told 2
train 4
transpires 1
trust 1
trustee 1
undercover 1
up 1
use 1
uses 1
victim 1
visit 2
wanted 1
war 1
was 3
way 1
when 4
where 1
which 2
who 7
whole 1
whom 1
why 1
widower 1
will 2
wishes 1
with 2
woman 3
women 1
world 1
would 1
written 1
wrongdoing 1
years 2
young 1
youngest 1
youth 1
