374803
/m/020wv3
/m/020wv3
Kathy Tyers

a 4
about 1
aftermath 1
allies 1
already 1
amidst 1
an 1
and 8
anger 1
are 1
avoid 1
back 1
become 1
becomes 1
bid 1
brought 1
by 2
catastrophe 1
certain 1
child 1
close 1
combat 1
conceiving 1
conclude 1
confronts 1
conquest 1
continued 1
core 1
darkness 1
decides 1
defeats 1
doom 1
duro 4
embraces 2
enemy 1
especially 1
even 1
eventually 1
every 1
evil 1
fall 1
fate 1
flee 1
force 3
forever 1
friends 1
from 1
galactic 1
galaxy 4
has 1
have 1
him 1
his 3
hope 1
horrifying 1
however 1
humiliation 1
if 2
in 8
individual 1
invaders 1
invasion 3
is 1
its 1
jacen 6
jade 1
jedi 1
lah 2
leia 1
loss 1
luke 1
make 1
makes 1
mara 1
member 1
more 1
mother 1
new 1
next 1
of 12
on 2
once 1
one 1
order 1
pivotal 1
planet 1
ray 1
refugee 1
rest 1
save 1
settle 1
settlement 1
several 1
shines 1
single 1
skywalker 1
skywalkers 1
solo 1
solos 1
successful 1
such 2
target 1
terror 1
the 29
their 2
then 2
they 1
things 1
though 1
through 1
to 7
tsavong 2
turn 1
ultimate 1
ultimatum 1
vision 1
vong 5
war 1
warmaster 1
what 1
will 3
with 2
world 1
worlds 1
worse 1
yuuzhan 3
