13857268
/m/03cldfw
/m/03cldfw
Douglas Preston
2000-07-18
{"/m/01jfsb": "Thriller", "/m/017rf8": "Techno-thriller", "/m/014dfn": "Speculative fiction", "/m/06n90": "Science Fiction", "/m/08sdrw": "Adventure novel"}
177 2
25000 1
a 38
abandon 1
able 4
about 3
abruptly 1
accepted 1
access 2
accounting 2
acting 1
actions 1
activate 1
admit 1
admitting 1
after 2
again 2
agreement 1
albeit 1
alcoholic 1
allay 1
allow 1
alloy 1
almost 1
also 4
amira 7
amount 1
an 8
analysis 1
analyzed 1
and 34
angrily 1
antarctic 4
any 2
anyone 1
anywhere 1
appear 1
appears 1
approach 1
approximate 1
archeological 1
are 5
area 5
argument 1
arrives 2
artifacts 1
as 12
assist 1
at 5
atomic 2
attempt 1
attempting 1
attempts 4
attracted 1
attributes 1
augment 1
avoid 1
away 1
barely 1
be 5
becomes 1
becoming 1
been 2
before 2
begin 1
begins 2
begs 1
being 3
belatedly 1
between 1
billionaire 1
body 1
border 2
both 2
brand 1
break 1
bribe 1
bribes 1
brilliant 1
british 1
britton 6
but 9
by 14
can 2
cape 2
capsizes 1
captain 5
carefully 1
cart 1
causes 1
cd 1
certain 1
chance 1
chase 1
chile 1
chilean 5
choice 2
chunk 1
closes 2
coast 1
collected 1
collector 1
come 1
commandante 9
common 1
company 1
completely 1
complication 1
composes 1
comprehensive 1
concluded 1
concludes 1
concluding 1
conditions 1
confessing 2
confirm 1
confirmed 1
confirms 1
confused 1
contact 3
containing 1
continue 1
continues 3
continuing 1
convince 1
could 2
course 2
cover 1
crashed 1
crew 9
cut 1
damage 1
damaged 1
dangerous 1
data 1
days 1
dead 2
declaring 1
deems 1
denser 1
describing 1
design 1
desolacin 5
despite 2
destroy 1
destruction 1
detonate 1
detonates 1
devices 2
dies 1
dig 1
digs 1
disable 1
disabling 1
discharges 3
discharging 1
discover 1
discovered 1
discovers 1
discovery 2
disguised 1
distraction 1
distress 1
doctor 1
doctrine 1
double 1
down 2
drunk 1
due 1
during 3
duty 1
earthquakes 1
ees 3
effect 3
effective 1
efforts 1
electrical 1
electricity 2
electrocuted 1
element 3
elemental 1
eli 2
engage 1
engineering 1
enough 1
enters 2
equipment 3
even 1
evening 2
eventually 5
ever 1
every 1
examined 1
excavation 1
excited 1
existence 1
exotic 1
expected 2
expedition 5
expert 1
explains 1
explosive 1
explosives 1
exterior 1
extreme 1
fail 3
failed 2
failing 1
falsely 1
fatally 1
feigning 1
figure 1
figured 1
finds 1
finish 1
finishes 1
fires 1
firing 1
firm 1
first 2
flash 1
flight 1
floor 1
fog 1
for 11
forced 1
former 1
from 7
functional 1
further 2
getting 1
gives 1
giving 1
glinn 17
gold 1
grating 1
ground 1
guard 1
guise 1
half 2
handful 1
happened 1
harsh 1
has 8
have 3
he 12
helicopter 1
help 1
her 4
high 1
highpriced 1
him 7
himself 2
hires 2
his 6
holding 1
horn 2
hot 1
hours 2
housing 1
however 2
human 1
hunter 1
hydraulic 1
hypothermia 1
i 1
ice 5
icebergs 3
idea 1
illprepared 1
image 1
immediately 2
in 15
inc 1
including 1
incredibly 1
infiltrates 1
inflicts 1
initially 1
inside 1
intends 1
international 1
interrupted 1
into 1
investigate 1
involved 1
iron 1
is 29
isla 5
island 3
islands 2
it 5
its 5
jacks 2
jettisoned 1
jettisoning 1
just 1
kill 1
killed 2
killing 1
kills 1
known 1
largest 1
last 1
later 3
leave 1
leaving 2
led 1
legitimate 1
lifeboat 1
lifeboats 2
lift 1
light 1
lightning 2
lights 1
limit 1
liquids 1
literally 1
lloyd 8
load 2
local 1
locally 1
location 2
longer 1
love 1
makes 2
many 1
masangkay 6
massive 4
mathematics 1
may 1
mcfarlane 13
meanwhile 1
meeting 1
meets 1
member 1
members 1
men 1
meteorite 29
mining 2
moments 1
months 1
more 2
most 1
motivated 1
move 2
moves 1
much 2
museum 1
must 2
native 1
navy 1
near 2
nearest 1
nestor 1
never 1
new 2
next 1
no 4
not 4
notably 1
notes 1
now 4
number 2
object 1
objects 1
ocean 3
of 35
off 4
officer 1
officials 1
oil 1
on 13
once 2
one 2
only 5
onto 2
open 1
operations 1
or 1
order 1
orders 1
ore 1
other 1
otherwise 1
out 4
outofwork 1
outside 1
over 1
palmer 3
part 1
partner 1
pass 1
passage 1
peg 1
person 2
personnel 1
piece 1
placed 1
plan 3
plans 1
portion 1
positions 1
possessing 1
possible 2
powerless 1
predicts 1
prepares 1
present 1
president 1
prevent 2
problem 1
proceed 1
professional 1
propellers 2
properly 2
proves 1
public 1
pursued 1
pursuing 1
pursuit 1
puts 1
rachel 1
range 1
rare 1
reaches 1
realized 1
realizes 2
rebuffed 1
recorded 1
recover 1
recovered 3
recovering 2
recovery 2
refuge 1
refuses 1
replace 1
rescue 1
rescued 1
rest 1
retrofitted 1
reveal 1
revealing 1
rod 1
rolvaag 11
rolvaags 1
romantically 1
room 1
rough 1
run 1
running 1
safe 1
sally 1
saltcontaining 1
sam 3
same 2
sample 1
sank 1
save 1
say 1
saying 1
scanner 1
science 1
scientific 1
sea 1
searching 2
seas 1
secure 2
securing 1
seed 1
sends 1
series 1
serve 1
sets 1
several 2
severely 1
she 4
shearing 1
ship 16
shown 1
single 1
sinks 2
site 1
slip 1
slowly 1
small 2
smaller 1
snapped 1
snaps 1
solar 1
solution 1
solutions 1
solving 1
some 2
something 1
somewhere 1
son 1
soontobeopened 1
south 1
speaking 1
specific 1
speculates 1
sprouting 1
stability 1
staggering 1
start 3
states 1
station 1
stationed 1
stop 1
stops 1
storm 1
strike 1
subsequently 1
succumb 1
such 1
suffer 1
supertanker 2
surface 1
surprised 1
surreptitiously 1
survive 1
survivors 2
suspicions 1
sweat 1
system 3
take 2
talented 1
task 1
team 2
tech 1
tell 3
temporary 1
test 1
tests 1
than 2
that 22
the 108
their 1
them 3
themselves 1
then 2
there 2
these 1
they 4
this 10
though 6
three 1
time 3
timmers 5
to 62
together 2
toll 1
tomographic 1
tons 1
touch 1
touching 1
towards 1
towering 1
tracking 1
transporting 1
traveling 1
two 3
unable 1
unbalancing 1
undaunted 1
under 3
undiscovered 1
unearth 1
units 1
unprecedented 1
until 1
using 2
vallenar 12
various 1
vehemently 1
vengeance 1
vessel 2
visit 1
wanted 1
wanting 1
was 5
watch 1
water 2
waters 3
way 3
weight 2
well 2
what 7
when 3
where 2
which 2
while 1
who 3
whose 1
why 1
will 3
with 8
without 1
witnessed 1
worn 1
yaghan 1
yet 1
york 1
you 1
