13331071
/m/03c1yvg
/m/03c1yvg
John Dickson Carr

{"/m/02n4kr": "Mystery"}
a 8
agrees 1
along 1
also 1
american 1
and 7
arrive 1
asleep 1
at 2
been 3
behind 1
byng 2
cavalier 3
chief 1
congressman 1
constant 1
cope 1
cup 2
debunk 1
diamond 1
doors 1
during 1
etched 1
falls 1
family 1
feet 1
finds 1
from 1
ghost 1
ghostly 2
hall 2
hanging 1
has 3
haunts 1
he 3
heavily 1
heirloom 1
henry 3
his 2
historic 1
house 2
in 3
inhabitants 1
inspector 1
into 1
is 3
it 1
jeweled 1
known 1
latched 1
lately 1
leadedglass 1
left 1
lifetime 1
locked 2
longdead 1
making 1
manifestations 1
masters 5
merrivale 1
moved 1
must 1
nearby 1
night 1
oak 2
of 1
old 2
on 1
order 1
outside 1
past 1
placed 1
poem 1
presence 1
present 1
presentday 1
rawdon 1
reminder 1
reveal 1
room 2
safe 1
seems 1
showpiece 1
singing 1
sir 5
spend 1
standing 1
still 1
sword 1
table 1
teacher 1
telford 2
that 2
the 13
to 3
up 1
visiting 1
wakes 1
was 1
when 2
which 1
who 1
window 1
windows 1
with 4
