5893837
/m/0fc7p1
/m/0fc7p1
Selma Lagerlöf
1891
{"/m/014dfn": "Speculative fiction"}
a 2
adventures 1
among 1
and 3
are 1
as 2
at 1
band 1
becomes 1
been 1
before 1
berling 3
but 1
by 1
charming 1
come 1
death 1
deposed 1
die 1
ekeby 3
ends 1
even 1
filled 1
finally 1
fit 1
freezing 1
from 1
get 1
gsta 3
hands 1
has 1
her 2
hero 1
home 1
in 2
is 4
leading 1
lives 1
manage 1
manor 1
many 1
minister 1
mistress 2
of 4
old 2
one 1
own 1
pensioners 2
permitted 1
personality 1
poet 1
power 1
property 1
redeemed 1
revelers 1
saved 1
see 1
spirit 1
story 1
the 10
their 2
themselves 1
thereupon 1
they 2
to 4
who 1
wild 1
with 1
