22965219
/m/063y7g7
/m/063y7g7
Dean Wesley Smith
2000-08
{"/m/06n90": "Science Fiction"}
aliens 2
attack 1
belle 2
biological 1
by 2
captain 1
chosen 1
colony 1
continued 1
decides 1
desired 1
distance 1
due 1
enterprise 1
established 1
expansion 1
federation 1
fight 1
guard 1
has 2
have 1
however 1
important 1
is 2
kirk 1
mineral 1
nearby 1
now 1
of 1
only 1
planet 2
riches 1
sheer 1
starship 1
take 1
terre 2
the 8
their 1
them 1
they 1
threatening 1
to 5
under 1
unexpected 1
vitally 1
weapons 1
