13268819
/m/03b_ywr
/m/03b_ywr
Murray Leinster
1919-02-22
2000odd 1
a 4
able 1
actually 1
again 1
allows 1
also 2
an 2
and 5
are 1
artesian 1
arthur 1
back 1
backwards 2
bank 1
be 2
began 1
begins 1
beneath 2
building 8
built 1
but 2
by 1
called 1
can 2
caused 2
chamberlain 4
concentrate 1
concerns 1
convinces 1
doing 1
drop 1
east 1
ends 1
engineer 1
exact 1
falling 1
feeding 1
finally 1
find 1
first 1
fishing 1
flaw 1
floor 1
forces 2
forward 1
happening 1
has 2
he 3
his 1
hunting 1
implement 1
in 10
inhabitants 3
instead 1
intensive 1
into 5
is 5
it 3
its 1
jet 1
later 1
located 1
manhattan 2
meantime 1
metropolitan 1
midtown 1
moment 1
moving 2
must 1
of 4
office 1
on 2
one 1
only 1
organize 1
other 1
parties 1
past 4
plan 1
precolumbian 1
present 2
president 1
pressure 1
rapidly 1
ready 1
realize 1
realizes 1
released 1
require 1
return 2
returning 1
rock 2
runaway 1
same 1
seismic 1
setting 1
several 2
sky 1
skyscraper 1
so 1
soapy 1
space 1
stranded 1
subside 1
subsidence 1
suddenly 1
sun 1
that 5
the 29
them 1
themselves 2
they 2
this 1
thousand 1
time 1
to 11
together 1
tower 1
travel 1
travels 1
two 1
up 1
used 1
water 1
weeks 2
well 1
what 1
when 3
who 1
will 1
work 1
works 1
years 1
