2827977
/m/0858kd
/m/0858kd
John Hawkes

a 13
absence 1
activity 1
after 3
allow 1
allowing 1
america 1
and 9
answered 1
are 3
as 3
association 1
at 1
atmosphere 1
attempts 2
awry 1
badly 1
baffled 1
banks 2
bankses 1
be 3
beaten 1
beats 1
becoming 1
been 2
befriended 1
bored 1
both 3
bowler 1
brutally 1
but 2
by 2
call 1
can 1
cannot 1
castle 1
coherent 1
comfort 1
constable 1
contrast 1
corpse 1
couple 1
crime 1
criminal 1
deals 1
death 2
decidedly 1
delirious 1
details 1
detective 1
detectives 1
discovered 1
distracting 1
disturbing 1
during 2
easily 1
elliptical 1
england 1
ensure 1
escape 1
events 3
fatale 1
fell 1
femme 1
fiction 1
fight 1
figures 1
final 1
finds 1
for 1
force 1
found 1
fragments 1
from 1
front 1
fronting 1
gang 4
goes 1
hallucinatory 1
has 1
hats 1
have 1
having 2
hawkes 1
he 1
heavy 2
heist 1
hencher 5
her 2
highly 2
him 3
himself 1
his 2
home 1
horses 1
ii 1
imagery 1
impressionistic 1
in 12
incident 1
inferred 1
infidelity 1
inhere 1
instead 1
intense 1
into 2
invincible 1
invites 1
ironic 1
irreducible 1
is 4
keep 1
kidnap 1
kingpin 1
knowing 1
larry 3
leading 1
left 1
likes 1
lived 1
lost 1
lowerclass 1
lured 1
make 1
many 2
margaret 4
may 1
meaning 1
meanwhile 1
meet 1
members 1
mercilessly 1
michael 10
mistress 1
mother 2
narrative 2
nightmarish 1
novel 4
of 12
on 1
only 1
orchestrates 1
order 2
other 1
out 2
owner 1
parodies 1
particularly 1
particulars 1
party 1
pleasure 1
plot 2
predators 1
presentation 1
presented 1
prior 1
questions 1
race 1
racehorse 2
rain 1
rapes 1
reader 1
readers 1
realizing 1
redeem 1
rent 1
repay 1
representatives 1
retire 1
rock 1
room 1
ruthless 1
scheme 1
sedate 1
seemingly 1
sense 2
separately 1
set 3
sexual 1
she 1
slashes 1
some 2
sordid 1
soul 1
stallion 1
stolen 1
street 1
streets 1
style 1
subordinate 1
suspicious 1
sybilline 1
taken 1
tell 1
that 2
the 24
their 2
then 2
these 2
they 3
thick 1
this 2
though 1
thrillers 1
through 2
thwarting 1
to 16
transfigured 1
truncheon 1
twenty 1
two 3
ultimate 1
uncover 1
under 1
up 1
vacant 1
value 1
vividly 1
wants 1
war 2
well 1
wellmeaning 1
where 1
which 3
while 1
who 5
will 1
william 1
with 6
women 2
work 1
world 1
wraps 1
years 1
