8404404
/m/02727sn
/m/02727sn
Alma Alexander

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
a 18
about 2
absolute 1
accepted 1
act 1
actively 1
adoptive 1
after 2
age 1
also 2
an 6
and 13
another 2
antian 3
apprentice 1
are 1
as 4
at 1
back 2
bao 3
be 3
becomes 4
begins 1
between 2
beyond 1
binding 1
binds 1
bonding 1
bravery 1
bridge 1
bring 1
broken 1
by 8
cai 1
calm 1
can 1
chancellor 1
changed 1
childhood 1
chinese 1
circle 1
claims 1
class 1
clubfooted 1
comes 2
comforted 1
concubine 1
consoled 1
continue 1
courage 1
court 3
customs 1
darker 1
daughter 3
declaration 1
declares 1
despite 1
determination 1
dies 1
discovered 1
down 1
dragon 1
during 2
duties 1
dying 1
earthquake 1
emperor 2
emperors 1
empire 1
empress 3
ends 1
events 1
example 1
exceptional 1
existence 1
extraction 1
fail 1
failure 1
family 1
fervently 1
finds 1
fold 1
for 3
forces 1
friend 1
from 1
gap 1
generation 2
girl 1
given 1
great 1
grew 1
guard 1
has 1
heal 1
healer 1
heart 1
her 17
herself 2
however 2
huge 1
illegitimate 1
imaginary 1
imperial 1
in 6
increasingly 1
information 1
initial 1
injured 1
insecure 2
inspired 1
intertwine 1
is 14
it 1
ivory 1
jin 3
jinashu 1
jinshei 2
joyful 1
khailin 3
kingdom 1
knowledge 1
ladies 1
language 1
late 1
later 1
leads 1
learned 1
leaving 1
life 4
light 1
lihui 2
little 1
liudan 7
liudans 1
lives 3
lonely 1
look 1
looking 1
loyalty 2
made 1
maintain 1
marred 1
marries 1
meets 1
mistrusting 1
moments 1
moves 1
much 1
n 1
named 1
nature 1
need 1
never 1
new 3
nhia 3
ninth 1
normal 1
novel 1
nurturing 1
obsessed 1
obstinate 1
occasions 1
of 19
old 1
on 1
once 1
one 2
order 1
over 1
overthrow 1
passed 1
path 1
pawn 1
peace 1
peacemaker 1
pledge 2
pledges 2
power 1
price 1
promise 1
protect 1
protective 1
pure 1
qiaan 3
quest 1
real 1
remains 1
reminiscing 1
resorts 1
restless 1
royal 1
rule 2
sage 2
seamstress 1
secret 1
secretly 1
seeking 1
sense 1
series 1
set 1
she 2
shei 3
shu 1
single 1
sister 3
sisterhood 7
sisters 1
social 1
some 1
sorrow 1
soul 1
story 2
summoned 1
syai 2
tai 8
tale 1
tammary 2
temple 2
tentative 1
test 1
that 3
the 24
their 4
then 1
these 1
they 1
thirst 1
this 2
through 2
throughout 2
time 2
tirelessly 1
to 20
trainee 1
transcends 1
traveller 1
tries 1
try 1
unexpected 1
unhappiness 1
unique 1
up 1
vicinity 1
wants 1
was 2
way 2
when 1
while 1
who 5
whom 1
will 1
with 7
within 2
woman 1
women 2
works 1
writing 1
xaforn 3
yet 1
young 3
younger 1
youth 1
yuet 2
