18719484
/m/04gl05j
/m/04gl05j
Anatole France
1890

a 3
able 1
about 2
alexandria 1
an 2
and 4
as 3
ascetic 1
beauty 2
becomes 2
before 1
can 1
cannot 1
christianity 1
comes 1
confused 1
convent 1
converting 1
dandy 1
desert 2
dying 1
egyptian 1
enters 1
eternity 1
faith 1
famous 1
fascinated 1
find 1
forget 1
former 1
he 7
heaven 1
her 10
hermit 1
illusion 1
in 1
is 3
journeys 1
knew 1
later 1
libertine 1
life 2
loves 1
masquerading 1
of 4
on 1
only 1
opening 1
paphnuce 1
pull 1
repent 1
return 1
see 1
she 2
side 1
sins 1
speak 1
succeeds 1
surprisingly 1
tells 1
thais 1
that 2
the 5
their 1
to 7
values 1
whom 1
with 2
yet 1
youth 1
