19357206
/m/04m_c6m
/m/04m_c6m
Eoin Colfer
2009-10-12
{"/m/0hh4w": "Comic science fiction"}
a 9
abandoned 1
ability 1
able 2
aboard 1
about 2
access 1
accidentally 1
acquaintance 1
actions 1
actually 1
after 1
afterwards 1
agrees 2
air 1
alive 1
all 2
also 1
among 1
an 6
and 38
angered 1
another 1
apocalypse 2
applicants 1
approach 1
are 6
arguing 1
argument 3
arrive 1
arrives 1
arthur 6
as 5
aseed 2
asgard 1
assigned 1
at 1
attempts 1
back 2
bands 2
battle 2
battles 1
bay 1
be 6
beach 1
because 1
becomes 1
becoming 2
beeblebrox 1
been 1
begins 1
behind 1
being 3
believes 1
best 1
beta 1
bomb 1
both 2
brain 3
brings 1
brought 1
built 1
bureaucracy 1
but 3
by 9
called 1
campaign 1
can 2
card 1
change 1
charge 1
cheese 1
cheeseworshiping 1
citizens 1
civic 1
clearly 1
club 1
colony 2
come 1
coming 1
commands 1
company 1
complains 1
computer 1
constant 2
construct 1
containing 1
control 2
conversation 1
create 1
creating 1
credit 1
cult 1
daughter 1
deals 1
death 1
debate 1
debris 1
decided 1
deflect 1
denounces 1
dent 1
destroy 3
destroyed 1
destroying 1
detached 1
die 1
disables 1
displeased 1
displeasure 1
distinct 1
divine 1
does 1
doomed 1
drugs 1
due 1
during 3
earth 3
earthlings 1
earthmen 1
eddie 1
employers 1
end 1
ends 1
enhanced 1
enjoy 1
enjoyment 1
enter 1
even 2
excessively 1
experimental 1
fame 1
feet 1
fight 1
fighting 1
find 1
finding 1
finds 3
fly 1
follow 1
followers 1
for 10
ford 5
freezes 1
freight 1
from 4
full 1
gain 1
get 2
god 5
going 2
gold 3
grebulons 1
group 1
groups 2
grows 1
guide 1
gunner 1
hammer 1
harmless 1
has 7
have 1
haven 1
having 2
he 11
head 1
health 1
hears 1
heart 3
help 1
henceforth 1
her 1
hillman 10
him 3
himself 1
his 13
hit 1
home 1
hooves 1
however 1
humans 2
hunter 1
hurt 1
idea 1
if 1
immortal 2
immortality 1
impressed 1
imprisons 1
in 8
including 1
inside 1
insults 1
intent 1
interstellar 1
into 2
involved 1
irish 1
is 16
issue 1
it 5
jeltz 3
keep 2
kill 2
killed 2
killing 1
kiss 1
lands 2
latter 1
law 1
leader 1
learn 2
led 1
left 4
legally 1
less 1
let 1
live 1
luckily 1
made 1
magratheans 1
managed 1
many 1
martyr 1
martyrdom 1
material 1
may 1
meanwhile 2
medical 1
meet 1
met 1
minor 1
missiles 1
mjllnir 2
mortal 1
most 1
mostly 1
mother 1
mown 2
much 1
named 1
nanites 3
nano 10
negotiates 1
negotiations 1
new 1
no 1
not 3
now 3
objection 1
of 19
off 4
offer 2
old 1
on 6
one 3
only 3
order 1
orders 1
otherworldly 1
over 1
own 1
package 1
paperwork 1
parallel 1
people 1
persuades 1
piece 1
planet 4
planned 1
pleased 1
poetry 1
populace 2
preached 1
prefect 1
prominent 1
promises 1
prostetnic 3
proud 1
providence 1
quest 1
random 7
rather 2
recalls 1
received 1
reelection 1
religious 1
relocated 1
replaced 1
representing 2
rescued 1
rest 1
restores 1
returning 1
revealed 1
reveals 1
rich 2
rise 1
rival 1
rubber 2
rumours 1
safety 1
same 1
sample 1
saving 1
search 1
second 1
see 1
seeking 1
seemingly 1
seems 1
sends 1
sets 3
settled 1
several 1
shall 1
share 1
ship 3
short 1
show 2
sliced 1
so 2
some 1
son 2
space 1
stability 1
staff 1
standing 1
start 1
starts 1
stay 1
steals 1
stereotypical 1
stop 1
struggling 1
success 1
such 1
suddenly 1
supposed 1
swamped 1
sympathy 1
taxpaying 1
tell 1
than 2
that 7
the 53
their 3
them 2
then 1
these 1
they 5
thing 1
things 1
this 2
thor 13
though 1
thoughts 1
through 1
thus 1
time 1
tired 1
to 40
trick 1
trillian 4
trying 1
two 3
tyromancers 4
unable 1
universes 1
until 1
unvogonly 1
up 1
upon 1
uses 1
using 1
valhalla 1
very 1
vogon 3
vogons 4
war 2
was 1
weapon 1
well 1
what 1
when 2
where 1
which 3
while 2
who 2
whom 1
will 1
win 1
with 12
work 1
would 1
wowbagger 19
write 1
zaphod 10
