7058060
/m/0h28w3
/m/0h28w3
Katherine Kurtz
1976-06-12
03 1
04 1
a 10
abandon 1
abandoned 1
abbey 1
abduct 1
abilities 1
ability 1
about 1
absolves 1
acknowledges 1
acquire 1
after 3
agreed 1
aidan 1
allies 2
already 1
although 3
ambitious 1
among 1
an 4
and 22
anguished 1
another 1
anscom 2
any 1
archbishop 2
are 1
ariella 1
arms 1
arrest 1
as 4
assassin 1
assistance 1
assisted 1
at 3
attack 1
attempt 2
attempting 1
attends 1
avenging 1
baptism 1
be 1
bearing 1
become 2
becomes 2
bedchamber 1
before 2
beginning 1
begins 1
begs 1
being 1
believe 1
bestow 1
betrayed 1
between 2
bloodline 1
body 1
brother 1
brotherinlaw 1
burst 1
but 4
by 4
camber 14
cannot 1
capital 1
capture 1
captured 1
cathan 11
cause 1
child 1
choose 1
cinhil 16
city 1
clearly 1
close 1
coel 2
comes 1
comfort 1
commits 1
commoners 1
compromise 1
confides 1
conscience 1
continually 1
continue 1
continues 2
continuing 1
convince 1
convinced 2
convinces 1
counsel 1
coup 3
court 1
crowns 1
culdi 1
daughter 1
death 1
deaths 1
decades 1
december 2
decides 1
decree 2
dedicated 1
deryni 5
derynilike 1
designed 1
determine 1
discover 1
discovery 1
dispatching 1
display 1
do 1
doomed 1
earl 2
earlier 1
eight 1
elderly 1
eldest 1
elude 1
end 1
entire 2
escape 1
escapes 1
evaine 1
eventually 3
evident 1
executions 1
family 2
father 4
fifty 1
fighting 1
final 1
finally 1
five 1
for 7
forces 1
forcing 1
former 1
formerly 1
forward 1
framing 1
friend 2
friends 1
from 2
furious 1
furstnfestil 1
goes 2
good 1
grandson 1
greater 1
grief 2
grow 1
guards 1
gwynedd 1
haldane 5
has 3
haunted 1
he 6
healer 1
heartfelt 1
heir 2
her 3
hiding 1
him 4
his 23
hours 1
houses 1
howell 1
however 3
human 1
identified 1
immediately 1
imprisoned 1
imprisonment 1
imre 14
in 10
incestuous 1
include 1
indication 1
infiltrate 1
into 2
is 14
issues 1
it 1
joram 5
just 1
kill 2
king 4
kings 1
lashes 1
last 1
later 1
launched 1
legitimate 1
life 2
living 2
locate 2
lord 4
macrorie 4
macrories 1
mad 1
manage 2
marriage 1
master 1
meanwhile 1
meet 1
member 1
members 1
mercy 1
michaeline 2
michaelines 1
middle 1
militant 1
military 1
mistrust 1
monk 1
monks 1
months 3
move 1
murder 2
murderer 3
murders 1
must 1
named 1
nearly 1
new 1
night 1
nonetheless 1
not 1
novel 1
of 27
oldest 1
on 2
one 3
order 2
ordering 1
orders 1
out 2
over 1
overcome 1
overthrew 1
overthrow 2
own 1
palace 1
passage 1
patient 2
peaceful 1
peasants 4
performs 1
period 1
permits 1
personally 1
persuade 1
plans 1
point 1
poisoned 1
portals 1
position 2
powers 6
prepare 1
presides 1
prevent 1
priest 1
prince 8
princess 1
provide 1
quickly 1
racked 1
rannulf 2
rather 1
realizing 1
really 1
realm 2
recruits 1
refuses 1
relationship 1
religious 5
remaining 1
request 1
respected 1
retrieve 1
returned 1
revoke 1
rhys 7
ritual 2
royal 3
save 1
search 2
secluded 1
seclusion 1
secret 1
secular 1
seek 2
seeks 1
selfloathing 1
september 1
served 1
several 5
shortly 1
sister 2
slain 1
sole 1
son 4
soon 4
sows 1
spans 1
submit 1
succeeds 1
successful 1
suicide 1
support 2
survivor 1
suspicions 1
teach 1
tell 1
tenants 1
than 1
that 8
the 58
their 7
them 1
thereafter 1
they 2
throne 2
through 1
throughout 1
thuryn 1
time 1
to 35
transfer 1
two 1
unable 3
undermined 1
unique 1
unless 1
unwilling 2
unwitting 1
upcoming 1
uses 2
using 1
valoret 3
various 1
vocation 1
vowing 1
vows 1
ward 1
when 1
while 1
who 6
win 1
with 7
withstand 1
womb 1
working 1
world 1
wrath 1
