604411
/m/02vp74
/m/02vp74
Sharat Chandra Chattopadhyay
1917-06-30
{"/m/0l67h": "Novella"}
100s 2
a 12
accept 1
according 1
advanced 1
after 2
agrees 1
amatory 1
ambivalent 1
an 3
and 15
anything 1
approach 1
are 2
as 2
at 3
away 1
back 3
because 1
been 1
before 1
believing 1
belonging 1
bengal 2
bengali 2
betrothed 1
blossoming 1
boarding 1
bolder 1
brahmin 1
but 3
by 1
calcutta 4
carousing 1
caste 2
chandramukhi 3
chides 1
childhood 2
children 1
chunnilal 1
city 1
class 1
cold 1
combination 1
compares 1
course 1
courtesan 2
cowardice 1
custom 1
customs 1
dark 1
days 1
death 2
declines 1
demonstrate 1
depicts 1
despair 1
desperately 1
deteriorates 1
devdas 19
dies 2
do 2
door 2
doorstep 1
drawnout 1
drinking 2
early 2
ending 1
even 1
excessive 1
falls 1
families 1
family 3
fastapproaching 1
father 1
financial 1
finds 1
finishing 1
flees 1
for 5
form 1
forward 1
frequently 1
friend 1
friends 2
from 4
fulfill 1
genuine 1
goes 3
going 1
hand 1
happy 1
have 2
he 11
health 1
hearing 1
heavy 1
her 9
higher 1
him 5
his 9
however 2
husband 1
in 17
india 1
insults 1
interested 1
into 1
introduces 1
is 7
journey 1
kolkata 1
largely 1
latter 1
learns 1
letter 1
lifea 1
lifelong 1
live 1
lived 1
longed 1
looks 2
love 5
loves 1
makes 2
man 1
marriage 6
married 1
marry 1
meekly 1
meet 1
meets 1
members 1
merchant 1
middle 1
mother 3
named 1
needed 1
night 2
not 2
novella 1
now 2
of 13
off 1
on 2
one 1
only 1
out 1
own 2
parents 3
paro 19
parvati 1
permission 1
place 1
plainly 1
planned 1
plans 1
possible 1
powerfully 1
prevailing 2
prevent 1
preventing 1
previous 1
proposal 1
propose 1
quickly 1
ready 1
realizes 1
really 1
relationship 1
remaining 1
request 1
responsible 1
return 1
returns 2
richer 1
runs 1
save 1
saying 2
school 2
seeks 1
sensing 1
she 3
should 1
so 1
social 2
societal 1
stage 1
state 1
status 2
stealthily 1
stepping 1
still 1
story 1
study 1
suicide 1
takes 1
tells 1
that 6
the 17
their 3
then 2
there 1
therefore 1
they 1
thirteen 1
to 26
together 1
towards 1
two 1
vacillation 1
view 1
village 3
vow 1
vows 1
weakminded 1
wealthy 1
were 2
when 3
which 1
who 1
whom 1
widower 1
wife 2
will 1
with 5
within 2
woman 1
would 2
writes 1
years 1
young 2
