1728918
/m/05rn2_
/m/05rn2_
Robin Cook
1988
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
56 1
a 10
about 2
admitted 2
aging 1
all 1
alvin 1
and 4
asks 1
at 4
attack 1
attention 1
be 1
been 1
before 2
begins 2
between 1
bill 1
blood 1
boek 1
both 2
came 1
caseload 1
cases 1
classmate 1
clean 1
come 1
complaining 1
connection 1
days 1
dead 1
death 1
decidedly 1
demeanor 1
demise 1
dies 2
dinner 1
dr 1
expelling 1
field 1
finds 1
former 1
general 1
genetic 1
gory 1
gotten 1
harvard 1
has 1
have 1
having 1
hayes 3
he 2
health 1
healthy 1
heart 2
him 1
his 6
hospital 1
howard 1
if 1
illicit 1
in 3
into 1
investigating 1
is 4
jason 5
killed 1
later 1
left 1
less 1
life 1
looking 1
looks 1
mad 1
man 2
massachusetts 1
mere 1
month 2
more 1
mutant 1
nervous 1
nldoodsangst 1
now 1
of 7
older 2
on 1
ought 1
out 1
paranoid 1
patient 2
patients 1
personal 1
plmiertelny 1
problems 1
progeria 1
question 1
received 1
recent 1
research 1
resident 2
restaurant 1
right 1
scientist 1
seems 2
shifty 1
some 1
something 1
soon 1
speak 1
strach 1
strain 1
strange 1
subject 1
sudden 1
suddenly 1
surgeon 1
talking 1
than 3
that 3
the 7
their 1
them 1
there 1
though 1
to 5
totally 1
twitchy 1
two 1
unduly 1
violently 1
what 1
when 1
while 1
who 2
whose 1
with 1
wonders 1
years 1
