3812457
/m/0b18y7
/m/0b18y7
Sharon Creech
1990
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 5
about 4
alex 1
also 2
an 1
and 6
ann 1
as 2
assignment 1
at 1
back 1
becomes 1
bed 1
been 1
began 1
best 1
beth 1
both 1
carl 2
chaos 1
cheevey 1
comes 1
cottage 1
course 1
cousin 1
creech 1
difficulties 1
england 2
eventually 1
examines 1
excited 1
faced 1
family 6
feel 1
finds 2
finney 1
for 4
friend 1
furtz 1
girlfriend 1
growing 1
hangs 1
hardware 1
has 2
he 3
her 8
his 3
how 1
i 2
id 2
if 1
in 4
inspiration 1
is 1
it 1
job 1
journal 1
keep 1
learns 1
less 1
life 1
like 1
little 1
living 1
looking 1
lou 2
makes 1
mary 2
me 3
missing 1
mr 1
my 3
never 1
normal 1
occasion 1
odyssey 1
of 3
often 1
on 1
our 1
out 2
over 2
overseas 1
own 2
parents 1
pretense 1
ray 2
read 1
relates 1
remember 1
right 1
sadly 1
self 1
sense 1
sharon 1
she 5
stated 1
states 1
stay 1
store 1
story 5
struggles 1
summer 2
switzerland 1
ten 1
than 1
that 3
the 9
then 1
there 1
this 2
thought 1
throughout 1
to 7
trip 1
trying 1
under 1
unfolds 1
up 1
visit 1
was 4
way 1
were 1
what 1
when 1
which 2
why 1
with 5
write 1
writing 1
years 1
