4382623
/m/0b_97q
/m/0b_97q
Rex Stout

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
100000 1
30000 1
a 23
about 1
absent 1
access 1
accompanies 1
acknowledges 1
acting 1
advance 1
afraid 1
after 4
again 1
against 1
agency 1
agrees 2
alerted 1
alger 3
alibi 1
alienating 1
alone 1
along 1
already 1
also 4
an 4
and 39
annoyed 1
another 2
answer 2
antagonism 1
anticipates 1
anyone 3
apartment 2
archie 14
are 5
area 1
around 1
arrangement 1
arrived 1
art 1
as 6
ash 3
assault 1
assigned 1
associate 2
association 2
assumed 1
at 4
attend 1
attendees 1
attention 1
aware 2
away 2
back 1
bad 1
be 2
beaten 1
because 1
beckons 1
been 7
before 3
begun 1
behind 1
belonging 1
bestirs 1
between 2
blood 1
bludgeon 1
body 1
bogus 1
books 1
boone 16
both 3
bpr 7
brags 1
breakdown 1
bribery 3
bring 1
brings 1
broken 1
brownstone 4
bureau 1
but 5
by 13
calls 3
carelessness 1
case 10
central 1
certain 1
certify 1
check 2
cheney 2
choice 1
claim 2
clear 1
client 1
collect 1
come 2
comes 1
commissioner 1
committee 1
complex 1
concealed 1
concealing 1
confession 1
confidential 2
confrontation 1
confronted 2
connected 1
considerable 1
consideration 1
contain 1
containing 1
continue 2
controls 1
conversation 1
convinced 1
correct 1
could 4
court 2
cramer 6
cylinder 13
cylinders 6
damage 3
dates 1
dead 1
death 4
decisively 1
denies 1
deny 1
depart 1
detailing 1
dexter 1
dictated 1
dictates 1
dictation 5
did 1
dinner 2
directly 1
director 2
dirty 1
disagree 1
discovered 2
discuss 1
disgust 1
disposition 1
do 1
doctor 2
does 2
don 3
done 1
door 1
draws 1
due 1
either 1
else 1
engagement 1
ensure 1
entering 1
entire 1
entry 1
even 1
events 1
eventually 3
everyone 1
evidence 3
exchange 2
executive 1
expected 1
fact 1
far 1
fates 1
fbi 1
federal 1
feelings 1
find 1
finding 1
finds 1
first 1
flakes 1
focus 1
follows 1
for 9
force 1
found 2
frantic 2
fritz 3
from 3
front 2
further 1
gathering 1
gave 2
generally 1
get 2
gets 1
give 1
gives 2
go 2
going 2
government 1
grabbing 1
grand 1
guilt 2
gunther 12
had 10
hand 1
happened 1
has 6
have 4
having 2
he 15
head 1
headquarters 1
help 1
her 9
hers 1
hid 1
hiding 1
him 7
himself 2
hires 1
his 14
hombert 1
hosted 1
how 1
however 1
hundreds 1
hunt 1
hypothesis 1
identify 2
if 2
immediately 1
in 18
inclined 1
includes 1
incriminating 2
industrial 1
information 1
informed 1
informs 1
insisting 1
inspector 2
instead 1
instigated 1
instructs 2
intercepts 1
investigate 1
investigation 1
invited 1
iron 1
is 20
it 7
items 2
just 2
kates 11
keep 1
keeping 1
key 1
killed 1
killing 1
knew 2
knowing 2
later 1
learns 1
least 1
leather 3
left 1
length 1
letter 1
lies 1
listen 1
locate 1
located 1
long 1
longer 1
lost 1
lying 2
machine 1
mail 1
makes 1
matter 2
maximum 1
meeting 6
members 2
men 2
mental 1
mildmannered 1
miss 3
missing 4
money 1
monkey 2
more 1
motivation 1
murder 3
murdered 1
murderer 4
national 1
nearby 1
nero 1
new 2
nia 17
niece 1
night 2
nine 1
no 2
none 1
not 6
notes 1
now 3
objective 1
of 27
off 2
offered 1
office 5
officers 1
on 5
once 1
oneill 9
only 2
open 2
opinion 2
opportunity 1
or 2
order 1
ostensibly 1
otherwise 1
outoftowners 1
page 1
papers 1
parcel 1
part 1
participants 2
people 2
perhaps 1
persecution 1
persuading 1
phoebe 9
physical 1
picture 1
pipe 1
placates 1
played 2
pocket 1
points 1
police 7
political 1
possessing 1
possible 2
present 3
pressure 1
price 1
principals 1
prior 1
procured 1
props 1
protect 1
provided 1
providing 1
public 5
pure 1
questions 1
reacted 1
reacts 1
received 1
reception 1
recording 1
references 1
regulation 1
related 1
remain 1
renewed 1
replace 1
representative 1
representatives 1
researcher 1
resolved 1
resources 1
retained 1
retainer 1
retrieve 1
returned 1
returning 1
revealed 1
reward 1
room 1
rust 1
rusty 1
sake 1
sap 1
scarf 1
scene 1
scheme 3
seal 1
search 4
secretary 1
see 1
sees 1
sending 1
sends 1
sense 1
sergeant 1
set 1
shadows 1
she 9
shielded 1
shortly 2
showed 1
signs 1
simply 3
since 1
sniggled 1
so 3
soars 1
solomon 1
solved 2
some 3
someone 1
speaking 1
speech 2
stages 1
states 1
station 1
stebbins 1
step 1
stoop 1
suffering 1
suggests 1
suspects 1
takes 1
telegram 1
ten 2
terminating 1
that 26
the 113
their 1
them 3
then 1
theodore 1
there 3
these 1
they 1
threatens 1
through 1
thus 1
to 55
told 2
topcoat 1
try 1
turned 1
turns 1
two 1
under 1
unfortunately 1
unmistakably 1
unsure 1
until 2
up 1
urgency 1
urgently 1
urges 1
use 2
used 1
vacating 1
vindicated 1
violently 1
wait 1
waited 1
wanted 1
wants 1
warrant 1
warrants 1
was 8
washington 1
wasteful 1
way 1
well 2
what 2
when 8
where 3
whether 1
which 2
who 3
widow 1
wife 1
will 2
winterhoff 1
with 11
wolfe 29
word 1
would 3
wrench 2
york 2
