23456154
/m/06w2dlr
/m/06w2dlr

2008
{"/m/02t97": "Essay"}
12002 1
2000s 1
2005 1
2006 2
a 2
affinity 1
after 1
alienation 1
also 1
an 1
and 7
annihilation 1
anticapitalist 1
appropriation 1
are 1
argentine 1
around 1
as 3
attack 1
attempts 1
based 1
begins 1
blocking 1
book 3
breakdown 1
build 1
by 2
can 1
capitalism 1
capitalist 1
circles 1
civilization 2
close 1
committee 2
communes 1
complete 1
crisis 3
decline 1
degradation 1
diagnosis 1
discussed 1
divided 1
economic 1
economy 2
emerged 1
environment 1
environmental 2
envisioned 1
examples 1
financial 1
first 1
for 1
forces 2
formation 1
france 1
from 1
give 1
grassroots 1
groupstyle 1
hurricane 1
identify 1
in 5
insurrection 1
insurrectionary 1
into 1
invisible 2
is 1
it 1
its 1
katrina 1
late 1
latter 1
local 1
mainstream 1
modern 2
moments 1
movement 1
moving 1
network 1
new 1
oaxaca 1
of 14
offer 1
on 1
or 1
order 1
orleans 1
outside 1
part 1
partial 1
parts 1
people 1
physical 1
piquetero 1
points 1
police 1
political 1
politics 1
power 1
prescription 1
protests 2
push 1
relations 1
relief 1
revolution 1
revolutionary 1
revolve 1
riots 1
rise 1
self 1
seven 1
situations 1
social 3
struggle 1
student 1
symptoms 1
that 1
the 25
through 1
to 5
totality 1
towards 1
two 1
underground 1
units 1
urbanity 1
what 1
which 2
will 2
work 2
