1591552
/m/05dzrd
/m/05dzrd
David Mamet

10 1
a 24
about 8
account 1
across 1
admit 1
admits 1
admonishes 1
after 4
aggressive 1
aggressively 1
ago 1
agree 1
agreed 1
agrees 1
all 1
allow 1
also 1
ambitious 2
an 4
and 20
another 1
answer 1
apartment 1
appointment 1
are 1
arrange 1
arrived 1
arrives 1
as 5
ask 1
asked 1
asks 5
assault 1
associate 1
assures 1
at 5
attacks 1
attractive 1
author 1
awake 1
away 1
back 3
based 1
be 6
because 2
becomes 1
bed 2
been 4
before 1
begins 2
being 2
beside 1
big 3
bobby 1
book 11
both 1
break 1
bring 2
bringing 1
brown 4
bucks 1
business 2
but 4
by 3
call 1
came 1
can 1
careers 1
chance 2
charlie 1
chat 1
chides 1
coffee 2
come 1
comes 1
comments 1
considered 1
continue 1
continues 1
could 4
courtesy 2
creative 1
day 1
delirium 1
deliver 1
delivering 1
delivers 1
denies 1
different 1
discuss 1
do 1
dollar 1
door 1
doug 4
eastern 1
ebulliently 1
effect 1
effects 1
ends 1
enraged 1
enters 1
even 1
eventually 1
excited 1
feels 1
filling 1
film 4
finally 1
financial 1
find 1
five 2
floozy 1
flying 1
for 10
formula 1
fox 21
get 1
gets 2
girl 1
give 1
giving 1
glowing 1
go 1
going 1
gone 2
good 2
gotten 1
gould 34
gradually 1
green 1
had 3
hard 1
has 7
have 3
he 17
head 5
her 20
him 13
himself 1
his 10
history 1
hold 1
hollywood 7
home 1
hope 1
house 1
humor 1
hundred 2
if 1
important 1
in 9
increasingly 1
initially 1
instantly 1
instead 3
interested 1
intimate 1
into 5
invited 1
is 21
it 8
job 1
karen 13
keen 1
knows 2
ladder 1
leave 2
leaves 4
light 1
longtime 1
lot 1
loyal 1
lunch 3
made 4
major 1
make 7
making 1
many 1
me 1
meaning 1
meet 1
meeting 2
men 1
more 2
morning 3
motives 1
movie 8
movies 1
nave 1
neither 1
never 2
new 2
news 4
next 2
night 5
no 1
nor 1
not 4
obscurity 1
oclock 1
of 10
offering 1
offers 1
office 2
on 6
only 2
opinion 1
order 1
out 3
owes 1
part 1
passive 1
perpetuating 1
personally 1
physically 1
pitch 1
pitching 2
place 1
plans 1
play 2
player 1
preparing 1
present 1
problem 1
process 1
production 1
project 1
promoted 1
protests 1
pushing 1
question 1
radiation 5
read 2
reading 1
ready 1
reason 1
recently 1
regular 1
report 1
requests 1
reservation 1
reservations 1
returns 1
revealed 1
rich 1
richard 1
right 1
risk 1
ross 1
says 5
scripts 1
secretary 4
seduce 2
seducing 1
seeing 1
sent 1
seriously 1
she 9
shock 1
simply 1
sissy 1
sit 1
sleep 2
slept 1
so 3
some 2
something 1
soon 1
speaks 1
spent 1
stand 1
standard 1
star 2
starts 1
story 1
straightened 1
street 1
studio 10
success 1
successful 1
such 1
suitable 1
sure 2
surprises 1
suspects 1
take 1
takes 1
taking 2
team 1
teasing 1
tell 2
telling 1
tells 3
temporarily 1
temporary 1
thanks 1
that 18
the 50
their 4
them 2
there 1
they 3
thinks 2
this 3
throw 1
throws 1
time 1
to 54
together 2
toiling 1
tomorrow 1
toward 1
tries 1
trying 2
two 2
uncorrupted 1
under 1
until 2
up 1
upcoming 1
usually 1
verbal 1
wager 1
wait 1
wanting 1
wants 2
warmly 1
way 2
ways 1
when 2
which 4
who 2
why 1
will 4
wing 1
with 17
without 1
wont 1
word 1
work 2
worked 1
works 1
would 2
writer 1
years 2
york 1
