30946755
/m/0gg50k5
/m/0gg50k5


{"/m/01hmnh": "Fantasy"}
a 20
ability 1
about 1
accusations 1
accuse 1
actually 3
advice 1
affect 1
after 1
afterlife 1
agree 1
agrees 1
alive 1
allow 1
almost 1
alone 1
also 1
although 1
an 6
and 31
angry 2
any 1
apologizes 1
are 3
arrive 1
as 4
asks 1
at 3
attack 1
attempt 1
augment 1
awake 1
back 4
backfires 1
badly 1
bandaged 1
barely 1
basic 1
be 6
bear 1
beat 1
because 2
been 1
before 2
begins 1
behjet 3
being 2
believe 1
big 1
blood 4
blue 1
boat 3
book 1
both 1
box 2
bring 1
bringing 1
brown 1
burn 1
burned 3
burning 1
burnt 1
but 8
by 4
cage 1
called 1
calling 1
calls 1
can 2
cannot 1
captured 1
care 1
carvings 1
cat 1
caught 1
causing 1
childbirth 1
city 5
clean 1
clothes 1
combined 1
comes 2
comforts 1
completely 1
control 1
could 1
countryside 1
creature 1
creeps 1
crossing 1
dark 1
daughter 1
day 2
days 1
deal 1
death 1
decides 2
destroy 3
did 3
died 4
discovers 2
discovery 1
dive 1
down 1
downriver 1
drina 16
drown 1
drowning 1
dying 1
eastern 1
ending 1
ends 1
escape 3
european 1
ever 1
every 1
exact 1
exchange 1
eyes 1
fades 1
fails 1
fallen 1
fate 1
father 3
fearful 1
feed 1
feels 1
few 1
find 1
finds 2
flees 1
fog 1
for 4
forced 1
form 1
free 1
from 6
full 1
gaining 1
get 1
ghost 2
gift 2
girl 1
give 1
given 1
gives 2
gold 1
goods 1
granted 1
grants 1
green 1
group 1
guards 1
guild 1
had 1
hands 1
has 9
he 12
heart 1
held 2
help 2
her 32
him 1
himself 2
his 5
hope 1
how 1
i 2
in 17
initially 1
inside 2
into 4
is 17
it 3
join 1
joins 1
journey 1
jumping 1
kate 31
katerina 1
keep 1
keeping 1
killing 1
knew 1
knife 1
last 2
later 3
leading 1
leave 1
lenore 5
life 1
linay 15
live 2
lived 1
living 3
lock 1
looks 1
lov 6
mad 1
made 1
magic 2
manages 1
market 3
markets 1
master 1
meets 2
mob 2
more 3
mother 6
must 2
mysterious 3
necessities 1
needs 1
night 1
no 3
nomads 1
not 3
note 1
now 1
of 25
offer 1
offering 1
offers 1
old 1
on 6
once 1
one 3
onto 1
or 1
orphan 1
other 2
out 2
over 1
own 1
people 1
pet 1
picks 1
plain 4
plan 1
plead 1
poor 1
pounce 1
power 3
prepare 1
promises 1
provides 1
reach 1
ready 1
realizes 1
red 1
refuses 2
reluctantly 1
remembering 1
repeats 1
responsible 1
results 1
return 2
reveals 3
revenge 1
river 6
roamer 1
roamers 6
ruins 1
rule 2
rumours 1
running 1
runs 1
rusalka 5
sack 1
samilae 1
saved 1
says 3
seals 1
see 1
seeking 1
selflessly 1
selling 1
shadow 10
shares 1
she 18
sickness 5
silver 1
since 1
sister 2
sleep 1
sleeping 1
small 2
so 1
some 4
someone 1
something 2
soon 1
speak 1
speech 2
spell 1
spite 1
spread 1
stake 1
stall 2
start 1
started 1
starts 1
still 2
stone 1
stop 1
stranger 3
survive 1
svetlana 1
taggle 9
taken 2
talk 1
talks 1
tells 1
than 2
that 18
the 47
their 1
themselves 1
there 2
they 3
this 2
those 1
thought 1
throughout 1
to 38
together 1
toila 2
too 2
took 2
touches 1
town 4
towns 1
townspeople 1
transformed 1
transforms 1
travel 1
trouble 1
trying 1
two 1
uncle 2
under 1
until 1
up 4
uses 1
vampiric 1
vardo 1
wake 1
wakes 1
want 1
was 4
water 2
way 1
we 1
well 3
went 1
when 3
where 1
which 2
while 1
who 8
wish 2
witch 4
witchcraft 3
with 7
without 1
woodcarver 1
woodcarving 1
worse 1
worth 1
written 1
you 1
young 1
