1661554
/m/05ljrt
/m/05ljrt
Terry Pratchett
2006
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
13 1
a 10
about 1
above 1
aching 1
acquaintance 1
acquires 1
allows 1
and 19
animals 1
annagramma 1
appears 1
are 1
armour 1
awaken 1
back 2
barefooted 1
baron 1
basic 1
be 2
been 1
before 2
bells 1
big 1
black 1
blocking 1
body 2
brother 1
burying 1
but 4
by 5
can 1
caught 1
causing 1
chalk 1
childhood 1
children 1
closely 1
clothes 1
comprise 1
continues 1
cope 1
cornucopia 1
correct 1
cottage 1
cover 1
creatures 1
dance 4
dark 1
decides 1
deliver 1
demands 1
descend 1
die 1
dies 1
discover 2
discovers 1
drawn 1
drops 1
during 2
elder 1
elements 2
enchanted 1
encounter 1
face 2
father 1
feed 1
feegles 4
fights 1
find 4
finds 2
first 1
fish 1
flee 1
food 1
for 2
from 5
fulfilling 1
gather 1
get 1
gift 1
gifts 1
give 1
go 1
goes 1
gorge 1
granny 3
ground 1
grow 1
guided 1
hag 1
harsh 1
has 3
he 7
help 2
her 15
hero 1
herself 2
hiding 1
him 3
himself 1
himselfwho 1
his 3
horse 2
house 1
houses 1
human 3
ice 1
in 4
incipient 1
including 1
ingredients 1
inside 3
instructs 1
interest 1
into 4
is 8
it 1
joins 1
killing 1
kiss 1
lady 4
lancre 1
land 1
learn 1
learning 1
like 1
live 1
looks 1
love 1
mac 3
makes 1
manages 1
meanwhile 1
melting 1
memories 1
miss 3
mistakes 1
morris 2
moving 1
much 1
must 1
mystified 1
nac 3
namely 1
nanny 2
needs 1
not 2
now 1
octiron 1
of 5
off 2
ogg 2
old 1
on 3
other 1
out 2
own 1
palace 1
pendant 6
performed 1
powersplants 1
presence 1
problem 1
problems 1
prolonged 1
protect 1
providing 1
pursues 1
real 1
reason 1
reborn 1
rescues 1
resolved 1
rhyme 1
roads 1
roland 6
seasons 1
second 1
secret 1
sets 1
she 10
sheep 1
silver 3
simple 1
slumber 1
snowflakes 1
some 2
son 1
spurting 1
start 1
starts 1
stop 1
storybook 1
suit 1
summer 5
surprised 1
sword 1
takes 2
target 1
that 7
the 39
their 2
themselves 1
then 1
these 1
they 1
things 1
this 1
throw 1
tiffany 14
tiffanyshaped 1
to 17
tracking 1
train 1
training 1
treason 3
trickier 1
truly 1
turn 1
ultimately 1
understanding 1
underworld 2
unknowingly 1
use 1
uses 2
walks 1
watch 1
wearing 1
weatherwax 3
wee 1
welcomes 1
wentworth 1
what 2
when 2
where 4
which 1
who 2
will 1
winter 3
wintersmith 6
wintersmithwinter 1
witch 2
witches 2
with 7
without 1
witness 1
years 1
young 2
