338949
/m/01xvgq
/m/01xvgq
Harry Turtledove
1997-09-08
1 1
10 1
11 1
1862 1
1870s 1
1880 1
1881 1
3000000 2
4 1
a 26
able 1
addition 1
advantage 1
after 5
again 1
against 2
aggression 1
aghast 1
aiding 1
alfred 1
all 2
alliance 2
allies 2
almost 1
also 4
alternate 2
america 1
american 2
an 3
and 30
angeles 1
annex 1
anticonfederatism 1
antietam 1
any 1
appointed 1
are 4
armies 1
armstrong 2
army 5
around 1
artillery 1
as 7
assuredly 1
at 2
attacked 1
attacks 1
attempt 1
attempts 1
back 2
banks 1
battle 4
be 1
become 1
becomes 1
becoming 1
been 2
belli 1
between 1
blaine 3
blockade 1
bloodbath 1
bloody 1
bogs 1
bombard 2
border 1
both 3
breechloading 1
britain 1
british 3
brunswick 1
but 1
by 11
camp 2
campaign 1
can 1
canada 1
canadian 1
capitulate 1
capture 2
casually 1
casus 1
caught 1
cavalry 3
charles 1
chihuahua 2
christ 1
church 1
cities 1
city 2
civil 1
classified 1
coast 1
coerced 1
colonel 2
command 1
commander 1
commanders 1
commencement 1
communication 1
conclusion 1
confederacy 4
confederate 15
confederates 3
conquered 1
continue 1
counteroffensives 1
cover 1
cs 1
csausa 1
cuba 1
custer 2
decision 1
declares 1
defeat 1
defeated 1
defense 1
defensive 2
democratic 1
desiring 1
despite 1
destroys 1
detailed 1
devastates 1
difficult 1
diplomatic 1
divergence 1
division 1
does 1
down 3
during 2
e 1
each 2
early 1
earning 1
easily 1
elected 1
election 1
eleven 1
empire 2
enabling 1
entire 1
envisions 1
equal 1
events 1
excellent 1
executed 1
extends 1
extreme 1
facing 1
federal 1
feel 1
feels 1
few 1
fighting 1
finally 1
financially 1
find 1
first 1
for 12
forced 1
forces 2
foreign 1
formed 1
forth 1
found 1
france 6
francisco 1
from 6
fronts 1
fullscale 1
g 2
gained 1
galled 1
gatling 1
general 2
generals 1
george 3
german 2
given 1
gives 1
goes 1
gold 1
good 1
gordon 1
governor 1
great 2
guaymas 1
guns 1
halt 1
hardline 1
has 1
have 3
having 2
he 2
hill 2
hinges 1
his 1
hostile 1
house 2
how 1
however 1
hunted 1
i 2
idea 1
ii 1
importance 1
imposes 1
in 16
including 1
incompetent 1
incumbent 1
independence 1
indian 2
indians 1
instead 1
international 1
interwar 1
into 6
invade 3
invading 1
invasion 2
is 13
island 1
it 4
itself 1
j 1
jackson 4
james 3
jeb 1
jesus 1
john 1
joins 1
kansas 1
kentucky 2
key 1
kingdom 3
kiowa 1
knock 1
known 2
lack 1
lake 1
lakes 2
lands 1
large 1
larger 1
later 2
latterday 1
launch 1
launching 1
law 1
lead 1
leaders 1
leadership 1
leading 1
learning 1
leaves 1
led 1
lee 5
like 1
little 1
longstreet 1
los 1
lose 1
lost 1
louisville 3
maine 1
mainline 1
make 1
making 1
man 1
martial 1
massive 2
maximilian 1
mcclellan 3
meanwhile 1
messenger 1
mexican 3
might 1
military 3
mining 1
mint 1
montana 1
mormon 1
mormons 1
most 1
nation 1
nations 1
negligence 1
never 2
new 1
newly 2
news 1
next 2
no 1
north 1
northern 4
northwestern 1
not 1
november 1
numbers 1
observer 1
occupying 1
october 1
of 37
offensive 1
oklahoma 1
on 9
one 2
opposing 1
order 1
orders 3
ore 1
organization 1
original 1
other 2
our 2
out 1
overall 1
pacific 2
peaks 1
pennsylvania 1
period 1
personally 1
philadelphia 2
pioneering 1
planning 1
plans 1
platform 1
point 2
political 1
pope 1
port 2
ports 1
possessing 1
potomac 1
powerful 1
president 2
presidential 1
province 1
provinces 3
purchase 2
purchased 2
purchases 1
purely 1
puts 1
quantity 1
quickly 1
raid 1
raids 1
railroad 1
reality 1
reason 1
reasons 1
rebel 1
receives 1
recognition 1
recovered 1
remain 1
reminiscent 1
repeating 1
republican 3
resources 2
results 1
returned 1
reveals 1
revolt 1
ridden 1
rifles 1
river 1
robert 1
roosevelt 1
rosecrans 1
rout 1
ruled 1
saints 1
salt 1
samuel 1
san 1
sanctioning 1
scenes 1
schlieffen 1
secession 1
second 2
seeks 1
seen 1
september 1
sequoyah 1
series 2
sets 1
severing 1
shell 1
shells 1
shortly 1
silver 1
smaller 1
so 1
soldier 1
soldiers 1
some 1
sonora 2
soon 3
south 1
southern 1
spanish 1
special 1
stalemate 1
state 2
states 17
still 1
stonewall 2
strapped 1
strategy 1
strong 1
struggles 1
stuart 1
success 2
successfully 2
suffers 1
support 2
surprise 1
susquehanna 1
tactics 1
takes 1
taking 1
tension 1
territory 5
that 3
the 97
them 2
theodore 1
there 1
they 2
this 1
those 1
three 1
thrown 1
thus 2
tilden 1
timeline 3
to 17
towards 1
town 1
trailing 1
transcontinental 2
transportation 1
trench 1
tries 1
troops 1
two 1
under 2
union 3
united 16
up 1
us 3
use 1
uses 2
using 1
utah 1
vague 1
very 1
victory 1
virginia 4
volunteer 1
von 1
wage 1
war 15
warfare 1
was 1
were 1
what 1
whatsoever 1
when 2
which 9
while 2
white 2
who 1
will 1
william 1
win 1
winning 2
with 2
world 3
would 2
wrongfully 1
young 1
