1628783
/m/05hx_s
/m/05hx_s
Doris Lessing
1950
a 23
about 4
acts 1
actually 1
adapt 1
africa 2
african 1
after 4
all 1
amazed 1
among 2
an 4
and 26
animallike 1
any 1
apolitical 1
arbitrarily 1
are 4
around 1
arrival 2
article 3
as 8
assume 1
at 5
attend 1
author 1
avoid 1
avoidance 1
aware 1
away 1
bar 1
be 5
because 2
becomes 1
been 2
behave 1
being 2
believing 1
black 1
blacks 1
book 1
both 2
break 1
breaking 1
brief 1
but 4
by 3
can 1
carelessly 1
chapter 1
charisma 1
child 1
clear 1
closes 1
cold 1
colour 1
comes 1
committed 1
community 2
complain 1
condition 1
connection 1
contempt 1
convalescence 1
convince 1
courtship 1
cross 1
cruel 2
cultured 1
cutting 1
day 1
deal 1
death 3
defending 1
demands 1
depression 1
deterioration 1
dick 14
disgust 1
disgusting 1
distance 1
distant 1
do 1
does 3
dressing 1
drink 1
during 1
each 1
endearment 1
ends 1
energy 1
english 1
enrages 1
ethic 1
events 1
ever 1
exhausted 1
exists 1
expected 1
expecting 1
face 1
farm 13
farmer 1
farming 1
fear 1
feel 1
feeling 1
feels 1
finds 3
flashback 1
for 8
frailty 1
friends 1
from 5
general 1
gets 1
give 2
go 1
goes 2
good 1
great 2
had 1
hand 2
happy 1
harder 1
has 5
hatred 1
having 2
he 5
her 13
herself 2
him 2
himself 2
hired 1
his 8
hostile 1
house 4
husband 1
idealistic 1
if 1
imminent 1
important 1
in 12
incompetence 1
independence 1
influence 1
insulting 1
integrity 1
intends 1
intentions 1
interest 1
intimate 1
is 17
it 1
job 1
killed 1
kind 1
labor 2
lack 1
last 1
life 5
like 2
live 3
living 2
looking 1
make 2
making 1
man 1
management 1
manages 1
many 2
marriage 1
marries 1
marry 1
mary 29
master 1
masters 1
mired 1
money 3
month 1
more 4
moses 10
most 1
motivation 1
moves 1
much 2
murder 2
named 1
native 1
natives 3
nature 2
neighbor 1
neighbors 1
nevertheless 1
news 1
newspaper 1
next 1
nice 1
not 4
novel 3
numerous 1
of 29
often 3
omen 1
on 6
one 1
only 1
originally 1
other 2
over 4
overhearing 1
oversees 1
overtly 2
ownership 1
party 1
past 1
pay 1
people 2
person 1
plot 1
police 1
poverty 2
practice 1
profitable 1
proximity 1
queenly 1
quite 1
racism 1
racist 1
rages 1
rare 1
rarely 1
rather 2
reduces 1
refers 1
refuses 1
relying 1
remark 1
repressive 1
repugnance 1
resolves 1
results 1
rhodesia 2
rhodesian 2
run 1
running 1
satisfied 1
says 1
scene 1
seen 2
sees 2
servant 4
servants 1
setting 1
she 12
shifts 1
short 1
should 1
shows 1
sick 1
simply 1
single 1
slatter 6
social 2
solitary 1
somewhat 2
sort 1
south 2
southern 1
speaks 1
spells 1
spends 1
spinsterhood 1
starts 1
stopped 1
struggling 1
superficially 1
superior 1
supports 1
surprised 1
take 1
taken 1
takes 2
telling 1
than 1
that 7
the 46
their 8
them 4
they 1
this 3
though 2
thoughtlessly 1
through 1
till 1
time 1
to 23
together 3
tony 3
topic 1
toward 1
treats 1
turner 4
unexplorative 1
union 1
unknown 1
up 2
uses 1
vacation 2
values 2
very 3
visit 1
waits 1
was 1
water 1
way 1
we 1
weaker 1
when 3
which 1
while 4
whipping 1
white 6
whites 1
who 1
wife 1
with 8
woman 2
women 1
work 4
worker 3
workers 1
works 1
years 2
yet 1
