14045935
/m/03cr_f7
/m/03cr_f7
Colin Wilson
1961
{"/m/05hgj": "Novel"}
155 1
a 2
actor 1
an 2
and 1
as 1
been 1
bohemian 1
central 1
discharge 1
district 1
drifts 1
early 1
english 1
fancying 1
from 2
granted 1
harry 2
having 1
he 2
himself 1
in 1
introduces 1
james 1
late 1
life 1
london 1
meets 1
misadventures 1
moves 1
national 1
nineteen 1
novel 1
of 4
old 1
opens 1
out 1
preston 1
provincial 1
raf 1
recounts 1
service 1
small 1
soho 1
story 1
street 2
summer 1
the 6
their 1
to 2
towards 1
town 1
way 1
where 1
with 1
work 1
writer 1
year 1
