492302
/m/02gzph
/m/02gzph
E. Nesbit
1902
a 13
ability 1
able 1
accept 1
accidentally 1
after 1
again 1
age 1
agrees 1
all 5
also 1
amongst 1
and 7
annoyed 1
another 1
anthea 2
anything 1
apparently 1
appear 1
are 1
as 4
ask 1
assures 1
at 5
atop 1
awry 1
baby 3
baker 1
be 8
beautiful 2
become 2
becomes 1
been 1
beg 1
begins 1
behind 1
being 3
bell 1
besieged 1
bigger 1
blamed 1
bones 1
boy 1
brother 3
bullied 1
buried 1
but 1
buy 1
by 1
cant 1
castle 1
causing 2
caveat 1
changed 1
children 15
childrenrobert 1
church 2
circulation 1
close 1
coins 1
comically 1
complex 1
condition 1
could 1
countryside 1
cyril 1
day 1
dayends 1
dont 1
down 1
eleven 1
else 1
ends 1
even 1
everyone 1
fair 1
fanciful 1
faster 1
feet 1
fend 1
final 1
finally 1
find 2
first 1
five 1
food 1
for 8
fossils 1
friendwill 1
from 1
full 1
gamekeeper 2
gamekeeperwho 1
getting 1
give 1
go 1
going 1
gold 1
gone 1
grant 2
granted 1
gravel 1
gravelpit 1
group 1
grow 2
grown 1
grumpy 1
guineas 1
gypsies 1
happy 1
has 4
he 4
him 3
himleading 1
home 2
house 1
housemaid 1
however 2
in 5
indians 1
individual 1
infant 1
instead 1
into 3
introducing 1
is 5
it 8
jane 1
jewellery 2
kent 1
kidnappers 1
known 1
lamb 1
lambuncover 1
later 2
leading 1
learn 1
leaves 1
like 1
london 1
long 1
longer 2
lot 1
makes 1
malevolent 1
man 1
marries 1
meet 2
mother 1
move 1
must 3
nearly 1
nesbit 1
never 1
no 4
now 1
observe 1
occasionally 1
of 9
off 1
on 1
once 1
one 2
only 2
out 1
per 1
persuades 1
pit 1
playing 1
promptly 1
psammead 5
railway 1
rather 1
real 1
recognize 1
red 1
rich 1
right 1
robbery 1
robert 1
rule 1
sandfairy 1
scalped 1
seems 2
selfish 1
series 1
servants 1
set 1
share 1
shop 1
show 1
shut 1
sideeffect 1
simply 1
situation 1
smug 1
so 2
some 1
someone 1
spade 1
stone 3
story 1
stuck 1
sundown 2
sunset 1
sure 1
take 2
tall 1
tending 1
that 10
the 44
their 5
them 7
themselves 3
then 1
they 8
things 1
this 3
though 1
to 22
too 1
tower 1
traveling 1
trouble 1
turn 1
two 1
ugly 1
up 1
used 1
vanishes 1
victim 1
wanted 1
wants 1
was 2
way 1
wealthy 1
well 1
when 6
where 1
whereupon 1
which 1
while 2
who 5
will 5
wings 1
wish 13
wished 1
wishes 8
wishto 1
with 6
woman 1
would 2
wrong 1
young 1
