20014026
/m/04yd0km
/m/04yd0km
Thomas Bernhard
1963
{"/m/05hgj": "Novel"}
a 3
amount 1
an 1
and 2
assistant 1
book 1
brother 1
by 3
endless 1
from 1
hamlet 1
has 1
himself 1
his 2
husband 1
im 1
in 1
includes 1
inn 1
is 1
isolates 1
lovers 1
mad 1
managed 1
medical 1
murder 1
narrates 1
near 1
of 3
painter 1
pongau 1
prison 1
resides 1
retreating 1
schwarzach 1
sequence 1
significant 1
story 1
strauch 3
surgeon 1
the 5
to 1
violence 1
watched 1
weng 1
where 1
who 1
with 1
woman 1
world 1
young 1
