8134381
/m/026svln
/m/026svln
Eudora Welty
1972
a 6
after 4
aging 1
ago 1
alabama 1
all 2
along 1
and 15
antagonistic 1
anything 1
are 1
as 6
assist 1
attend 1
back 2
before 1
begins 3
behind 1
better 1
book 1
but 2
by 2
cannot 1
character 1
cheating 1
chicago 1
childhood 2
claimed 1
clashes 1
close 1
colors 1
community 1
condition 1
confesses 1
confronted 1
confronts 1
days 1
deceased 1
dies 1
digs 1
directly 1
dissenting 1
distraught 1
distress 1
doctor 1
during 2
emotional 1
except 1
eye 1
factors 1
family 6
father 3
fay 3
fays 1
feel 1
few 1
finally 1
finds 1
fit 1
for 6
friend 1
friends 2
friendship 2
from 2
funeral 3
gains 1
get 1
go 1
goes 1
grew 1
had 1
hand 1
has 1
have 1
heartache 1
help 1
her 17
here 1
herself 2
him 1
his 3
home 3
hometown 1
hospital 2
house 3
husbands 1
immature 1
in 8
influence 1
insight 1
interest 1
ironically 1
is 1
it 1
judge 2
judges 2
knew 2
know 1
laurel 7
laurels 1
leaves 3
left 3
lied 1
life 4
lonely 1
love 2
madrid 1
main 1
many 1
married 1
members 1
memories 1
mississippi 1
money 1
months 1
most 1
mostfriends 1
mother 1
mount 3
neighbors 1
new 4
no 1
of 8
on 2
open 1
operates 1
orleans 1
other 2
outsider 1
parents 2
past 2
personality 1
pity 1
rarely 1
reason 1
received 1
recovery 1
rediscovers 1
remains 2
remembering 1
respect 1
salus 3
several 1
she 14
show 2
siblings 1
since 2
so 1
soon 1
stepmother 2
sullen 1
texas 1
than 1
that 1
the 28
this 1
though 1
through 2
throws 1
time 2
to 16
town 1
travel 1
travels 1
true 1
two 2
understanding 2
up 3
violently 1
visit 1
visited 1
warmth 1
were 1
which 2
who 3
why 1
wife 1
with 6
woman 2
women 1
worsens 1
years 1
