28318441
/m/0cp1q76
/m/0cp1q76
Todd McCaffrey
2008
{"/m/06n90": "Science Fiction"}
15 1
a 3
about 1
accidentally 1
afflicts 1
all 1
although 1
an 1
and 8
are 1
as 3
attempt 1
back 1
be 2
before 1
begins 1
being 1
bemin 1
both 1
casualties 1
child 1
craftsmen 1
deadly 2
devastated 1
devastation 1
dragons 4
dragonsriders 1
enough 1
even 1
face 1
fall 2
fight 1
fiona 3
firelizards 1
first 1
fort 2
from 2
gold 1
help 1
hold 1
holder 1
holders 1
illness 3
impresses 1
in 2
injured 1
into 1
is 3
it 1
lead 1
left 1
lord 1
more 1
mount 1
must 1
mysterious 2
no 1
not 1
now 1
number 1
of 7
once 1
only 1
pern 2
plague 2
possibility 1
prey 1
question 1
recover 1
rider 1
riders 1
save 1
she 1
situation 1
spared 1
still 1
surviving 1
take 1
talenth 1
tested 1
that 4
the 12
their 1
then 1
they 1
this 2
thread 2
thrust 1
time 1
to 6
trying 1
turns 1
were 1
weyr 1
weyrfolk 1
weyrlings 1
weyrs 1
when 1
will 1
with 1
years 1
