10222898
/m/02q5qng
/m/02q5qng
William Nicholson
2005
{"/m/01hmnh": "Fantasy"}
a 7
ability 1
above 1
accept 1
accepted 1
act 1
ago 1
air 1
all 3
along 2
also 3
always 2
an 2
anacrea 1
and 20
another 2
apply 1
applying 1
are 4
as 2
at 1
aura 1
away 1
back 1
basically 1
be 5
bearer 3
because 2
been 1
being 3
belief 1
believers 1
believes 1
blaze 7
blood 1
book 1
both 2
brother 2
building 1
but 4
by 4
called 1
can 1
candidate 1
cannot 1
cast 1
characters 1
charge 1
charged 2
child 1
city 2
cleansed 2
colour 1
come 1
comes 1
confirms 1
constructed 1
contact 1
decides 1
desires 1
destroy 2
destroying 2
devout 1
disgrace 1
door 1
else 1
encounters 1
energy 1
enter 1
entered 1
everything 1
explosive 1
fact 1
far 1
father 1
feelings 1
feels 1
felt 1
find 2
fled 1
follow 1
footsteps 1
forbidding 1
found 1
from 1
further 1
go 1
god 3
good 1
has 4
have 1
having 1
he 10
headmaster 1
hears 1
help 1
her 3
him 4
himself 3
his 6
hopefully 1
how 1
however 4
in 10
inevitably 1
inform 1
inner 1
intention 1
into 3
invited 1
is 16
it 4
its 1
join 4
justice 1
killed 1
later 1
leader 1
leading 1
little 1
lived 1
looking 1
lost 1
main 1
make 1
many 1
memories 1
mercy 1
merely 1
monastery 1
monks 1
mood 1
moreover 1
morning 6
mother 3
name 1
nature 1
noble 1
nom 10
nomana 2
none 1
normal 1
not 3
notable 1
obvious 1
of 17
often 1
older 1
on 3
one 1
only 1
open 1
out 1
peace 1
peoples 1
perform 1
pirate 1
place 1
planned 1
power 2
praying 1
pretending 1
process 1
project 1
prove 1
purpose 1
radiance 3
realise 1
really 1
rejected 2
released 1
relenting 1
replaced 1
reunited 1
ruthless 1
sacrifice 1
save 1
school 1
scientists 1
secretary 1
see 1
seeker 14
seemingly 1
sees 1
serve 2
several 1
shadow 1
she 4
similin 2
soren 1
speaks 1
star 6
stored 1
sun 1
tags 1
tell 1
telling 1
that 7
the 55
their 3
they 1
this 4
three 1
to 27
traitor 1
trio 2
turned 1
undergoing 1
unpredictable 1
used 1
ventures 1
voice 1
want 1
wants 4
warrior 1
was 3
water 5
way 4
weapon 6
when 2
where 2
which 1
who 4
whom 1
why 1
wildman 6
will 4
wishes 2
with 5
without 1
working 1
worships 1
worthy 1
would 1
years 1
