1383951
/m/04y8c8
/m/04y8c8
Robin Hobb
2001
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 3
able 1
accompanied 1
after 1
ahead 1
an 1
and 4
as 4
assignment 1
back 1
before 1
boy 1
brings 1
buckkeep 1
but 1
by 1
ceremony 1
convinces 1
cottage 2
could 1
crucial 1
dangers 1
diplomatic 1
down 1
dutiful 2
end 2
errand 1
farseer 1
farseers 1
fetch 1
fifteen 1
finally 1
finds 2
fitz 3
fool 2
for 1
from 1
gone 1
hap 1
has 2
have 1
he 3
her 1
him 5
his 2
in 3
is 2
isolated 1
just 1
like 1
missing 1
much 1
named 1
needed 1
nighteyes 1
of 3
often 1
on 1
one 1
only 1
orphaned 1
outislander 1
outislanders 1
passed 1
politics 1
possible 1
prince 1
princess 1
raises 1
red 1
reign 1
seems 1
settles 1
settling 1
she 1
ship 1
signal 1
since 2
soon 1
starling 1
terrifying 1
that 2
the 12
then 1
time 1
tiny 1
to 2
very 1
visits 2
wandered 1
war 1
wedding 1
well 1
with 1
witpartner 1
wolf 1
world 1
years 1
young 2
