451406
/m/02b2yr
/m/02b2yr
Ira Levin
1972-09
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/06nbt": "Satire"}
a 7
about 1
accusation 1
accuses 1
activists 1
activities 1
agrees 1
also 1
and 14
another 1
appears 1
are 3
arrivals 1
arrived 1
artists 1
as 6
ask 1
asks 1
association 1
at 3
be 1
beautiful 1
become 2
becomes 2
been 1
being 1
believe 1
bleed 1
bobbie 5
brainwashed 1
brandishes 1
but 2
by 2
capable 1
car 1
career 1
children 2
city 1
club 3
connecticut 1
conspiracy 1
convinced 1
corner 1
cover 1
creating 2
decides 1
deny 1
disney 1
disturbed 1
docile 2
down 1
eager 1
eberhart 1
end 1
ends 1
engineer 1
environmental 1
epa 1
epilogue 1
escape 1
especially 1
eventually 1
far 1
fawning 1
fears 1
fellow 1
feminist 1
fictional 1
finding 1
finds 1
flee 1
foot 1
former 2
friend 2
friendsnbspndash 1
from 2
gets 1
given 1
gliding 1
goes 1
going 1
has 3
have 1
he 1
helps 1
her 16
home 1
house 2
housewife 1
housewives 1
however 1
husband 4
if 3
impossibly 1
in 5
increasingly 1
independentminded 1
inquire 1
interest 1
into 3
investigate 1
involves 1
is 3
joanna 6
keys 1
knife 1
leader 1
leave 1
let 1
library 1
life 1
lifelike 1
local 2
loud 1
manages 1
married 1
meetings 1
members 1
men 6
mindless 1
mocks 1
more 2
music 1
new 4
newly 1
next 1
no 1
novel 1
of 13
on 3
once 2
one 1
or 1
other 1
others 1
out 2
overnight 1
pasts 1
photographer 2
playingnbspndash 1
poised 1
poisoned 1
possible 1
premise 1
previous 1
professionals 1
progresses 1
protagonist 1
reads 1
resident 1
robots 2
rock 1
ruthanne 1
saw 1
scene 1
scientists 1
screams 1
seems 1
sees 1
several 1
she 10
so 1
some 1
son 1
spending 1
start 1
stepford 8
stepfordnbspndash 1
story 2
submission 1
submissive 2
successful 1
supermarket 1
take 1
taken 1
takes 1
talented 1
that 3
the 28
their 1
them 2
they 2
this 1
through 1
time 2
to 13
town 2
toxins 1
track 1
transformed 1
turn 1
up 2
upstairs 1
very 1
victim 1
visits 1
were 1
when 2
while 2
who 1
wife 1
with 2
wives 4
women 3
woods 1
would 1
write 1
york 1
zombielike 1
