14409494
/m/03d2n2_
/m/03d2n2_
Tom Stoppard

a 2
actually 1
all 1
and 2
as 1
at 1
becomes 1
begun 2
behavior 1
believes 1
best 1
borrow 1
but 1
come 1
concludes 1
continues 1
course 1
daughter 3
despite 1
determined 1
do 1
dreams 1
envelopes 1
even 1
everyone 1
fact 1
family 1
follow 1
for 3
form 1
found 1
from 1
fruition 1
george 3
great 1
had 1
has 3
he 4
her 1
his 8
idea 1
implies 1
in 4
independence 1
is 2
its 1
just 1
leave 1
linda 2
local 1
men 1
money 2
new 1
not 1
of 3
own 1
perhaps 1
persephone 1
pitfalls 1
plans 1
play 1
position 1
pressure 1
problem 1
pub 1
put 1
reusable 1
same 1
searching 1
situation 1
spends 1
stoppard 1
story 1
that 2
the 7
they 1
this 1
threatens 1
to 5
tries 1
under 1
unrealistic 1
which 2
while 1
wife 1
with 1
