13108953
/m/02z6v_m
/m/02z6v_m
Baroness Emma Orczy
1918
{"/m/0hwxm": "Historical novel"}
180 1
a 4
after 1
agent 1
an 1
and 3
are 2
as 4
because 1
being 1
besmirch 1
bourbon 1
brigands 1
bringing 1
but 1
by 2
cause 1
chateaux 1
chouans 1
commit 1
committed 1
contains 1
convictions 1
could 1
country 1
crime 1
crimes 1
criminals 1
day 1
debate 1
during 1
enigma 1
every 1
figure 1
for 3
france 2
frances 1
fugitives 1
go 1
god 1
government 1
grey 1
ground 1
group 2
guise 1
hands 1
has 1
hiding 1
historic 1
in 7
inflict 1
is 3
just 1
justice 1
king 1
known 2
lawless 1
leaders 1
left 1
line 1
man 2
more 1
most 1
much 1
mysterious 1
name 1
names 1
napoleonic 1
night 1
of 9
one 1
only 1
open 1
or 1
out 1
owls 1
pack 1
plannedthey 1
professed 1
provinces 1
really 1
reckless 1
reinstate 1
remains 1
revolution 1
royal 1
royalist 1
ruins 1
screech 1
screechowls 1
secret 1
seek 1
set 1
some 2
struck 1
succeeded 1
terror 1
terrorised 2
than 1
that 2
the 16
their 3
theirs 1
these 1
they 5
to 4
twenty 1
under 1
uphold 1
were 2
west 1
western 1
whether 2
which 2
whilst 1
who 3
years 1
