2545908
/m/07m69g
/m/07m69g
Martin Amis
1991
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
12 1
148 1
a 12
about 2
above 1
accepts 2
access 1
aesthetic 1
after 2
aimed 1
all 3
also 1
alternatively 1
although 2
always 1
america 2
amis 2
among 1
an 2
and 17
apparently 2
are 1
as 2
assistance 1
assists 2
at 3
aura 1
auschwitz 3
auschwitzbirkenaumonowitz 1
babies 1
be 4
become 2
becomes 2
beginnings 1
begins 1
being 1
blows 1
but 4
can 1
cause 1
cease 1
certainly 1
changes 1
character 1
children 1
chronology 3
claim 1
clear 1
colleagues 1
come 1
conscience 1
consciousness 1
considered 1
considering 1
conspicuous 1
control 1
course 1
create 1
created 1
creates 1
creation 1
criminals 1
desultory 1
device 1
dialogue 1
did 1
discourse 1
disorienting 1
doctor 3
doctors 2
does 2
donation 1
doubts 1
dream 1
during 1
easy 1
edition 1
electricity 1
elegance 2
elegant 1
engages 1
escaped 1
europe 1
evening 1
events 2
eventually 1
exactly 1
examined 1
example 1
exist 1
experiences 1
explanation 1
fade 1
fearful 1
feeling 1
feelings 1
feels 1
finally 1
fire 1
first 1
for 5
forms 1
forward 1
from 4
gas 1
gathering 1
general 1
german 1
give 1
good 1
greater 1
harm 1
has 1
he 9
heal 2
heals 1
hellish 1
here 2
hiding 1
hier 1
him 1
himself 1
hinting 1
his 5
holocaust 1
hour 1
how 1
however 1
i 3
identity 1
in 16
including 1
indeed 1
injuries 1
interpreted 1
into 1
irrational 1
is 14
ist 1
its 2
jews 1
josef 1
kein 1
kreditor 1
later 1
life 2
lightning 1
listen 1
living 2
look 1
love 1
main 1
make 3
makes 1
may 3
me 2
means 1
medicine 1
mengele 1
merely 1
misinterpretation 1
modelled 1
money 1
morality 1
mothers3 1
moves 1
murder 1
my 2
narrate 1
narrative 2
narrator 6
necessary 1
never 1
new 2
nicholas 1
no 6
not 7
novel 3
odilo 1
of 10
on 1
one 1
only 1
opposite 1
or 4
our 1
over 1
p11120 1
passage 1
passages 1
passing 1
people 3
pepi 1
persistent 1
physician 1
pimps 1
pleasant 1
points 1
portrayed 1
portugal 1
practising 1
preternatural 1
prostitutes 1
protagonist 2
purpose 1
puzzled 1
quest 1
race 2
rather 1
reaches 1
reader 2
reality 1
really 1
recounts 1
recurrent 1
red 1
reenter 1
relationships 1
rest 1
retirement 1
reverend 1
reverse 10
reversed 2
right 1
romances 1
room 1
secondary 1
sense 3
settling 1
several 1
shit 1
sick 1
simple 1
simply 1
sky 1
slowly 1
smell 1
so 1
some 3
something 1
souls 1
starts 1
stormy 1
story 2
succeeded 1
taste 1
techniques 1
tells 2
than 1
that 9
the 34
theft 1
their 1
them 4
themes 1
then 3
there 4
these 1
they 1
this 5
though 1
thoughts 1
thunder 1
time 1
to 18
together 1
too 1
torture 1
touch 1
tradition 1
travels 1
ugly 1
uncle 1
understand 1
unsettling 1
unverdorben 1
use 1
versa 1
version 1
vice 1
vintage 1
vistula 1
wait 1
waiting 1
want 1
war 2
warum 1
was 3
way 2
weather 1
what 2
when 2
where 4
while 2
who 1
whole 1
why 1
with 9
within 1
wombs 1
word 1
world 2
would 1
wrong 1
yearning 1
york 1
younger 3
