1753796
/m/05t981
/m/05t981
James Baldwin
1962
a 6
abusive 1
actor 1
affair 1
after 2
afterwards 1
also 1
although 1
an 2
and 9
another 1
become 2
becomes 1
begins 3
bitterness 1
bridge 1
brother 1
but 2
by 2
calm 1
cannot 1
cass 2
circle 1
clique 1
closer 1
commits 1
committed 1
composed 1
country 1
death 1
dedication 1
deep 1
depression 1
downfall 1
drummer 1
due 1
eric 2
eventually 1
fifth 1
first 2
for 1
france 1
friends 2
frivolous 1
from 1
george 1
harlem 1
has 1
he 3
her 2
his 4
hospital 1
ida 2
in 2
including 1
initially 1
introduces 1
is 5
it 1
jazz 1
jumping 1
leave 1
leona 2
lonely 1
longtime 1
lover 2
male 1
mental 1
mentor 1
met 1
more 2
most 1
new 1
novel 1
novelist 1
of 4
off 1
racial 1
relationship 3
returns 3
richard 3
rufus 7
scott 1
serious 1
several 1
she 1
sister 1
social 1
south 1
stay 1
strained 1
struggling 1
successful 1
suicide 2
tells 1
tension 1
than 1
the 9
they 1
to 7
towards 1
town 1
two 1
understand 1
vivaldo 2
washington 1
weeks 1
where 1
which 1
white 1
who 1
wife 1
with 3
woman 1
writing 1
york 1
yves 1
