12196208
/m/02vvgll
/m/02vvgll
Sebastian Faulks
2008-05-28
{"/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
00 2
004 1
160s 1
a 20
aboard 1
across 1
actions 1
active 1
aeroplane 2
afghan 2
after 1
against 2
agent 8
aid 1
airliner 5
airspace 1
airstrike 2
alizadeh 1
also 1
ambush 1
an 5
and 20
are 1
arrival 1
as 4
assess 1
assisted 1
at 1
attack 4
attempt 1
attempting 1
away 1
awry 1
bait 1
be 6
been 1
before 2
board 1
boat 1
bodyguard 1
bomb 1
bombers 1
bond 20
both 2
britain 1
british 4
but 3
by 8
call 1
calls 1
can 1
captured 2
cell 1
chagrin 3
chain 1
cheap 1
complicity 1
condition 1
considers 1
control 1
convince 1
cost 1
crashes 1
darius 4
deformity 1
delivery 1
desert 1
designated 1
destroyed 1
destruction 1
devastate 1
disappears 1
discloses 1
diversion 1
double 1
double0 1
dr 1
driver 1
drugs 2
due 2
during 2
duty 1
east 1
echoes 1
ekranoplan 3
elimination 1
emotional 1
enable 1
engulf 1
escape 2
establishes 1
europe 1
events 1
eventually 1
evidence 1
execution 1
expected 1
explains 1
factories 1
failing 1
feared 1
felix 2
finally 1
flies 1
flood 1
fly 1
full 1
get 1
go 1
gorner 8
government 1
had 1
hamid 1
hand 1
has 2
have 1
he 6
head 1
heartland 1
her 4
heroin 1
hiding 1
him 3
himself 2
his 11
however 1
identified 1
identifies 1
if 2
imperial 1
in 12
increasing 1
inform 1
insitu 1
instructed 1
into 2
investigate 2
investigation 2
iran 1
iraqi 1
is 15
it 2
its 2
jd 1
join 1
julius 1
kill 1
kills 1
knew 1
later 1
launch 1
legitimate 1
leiter 4
life 1
local 1
m 2
made 1
man 1
meanwhile 1
meets 1
method 1
mi6 1
middle 1
mission 2
monitored 1
morning 1
motives 1
mountainside 1
moves 1
named 1
narcotics 1
new 2
not 3
of 13
off 2
on 5
only 2
operations 1
other 1
out 1
outskirts 1
own 2
owns 1
papava 3
parachuting 1
paris 1
performance 1
persia 1
pharmaceuticals 1
pieces 1
pilot 1
place 1
plant 1
plots 1
ploy 1
poppy 1
potential 1
predicted 1
produces 1
propeller 1
pursued 1
pushes 1
raf 1
reaches 1
recaptured 1
regains 1
retaliation 1
returned 1
returning 1
ritual 1
russia 1
russian 1
safety 1
scarlett 7
scheme 1
second 1
sees 1
sent 1
set 1
she 2
shoot 1
shootout 1
should 1
shows 1
silver 3
sister 2
soviet 1
soviets 1
spell 1
starts 1
station 1
stolen 1
story 2
subsequent 1
subsequently 1
success 1
successfully 1
superior 1
surrendering 1
survive 1
survives 2
suspects 1
take 1
taken 1
target 1
taxi 1
terrorist 1
thanks 1
that 6
the 38
threat 1
threatens 1
through 1
throughout 1
tide 1
timely 1
to 26
torn 1
train 1
tries 1
turns 1
twin 2
twopronged 1
uk 1
under 1
union 1
upon 1
used 1
using 1
vulcan 1
waiting 2
war 1
warned 1
was 2
where 1
which 1
who 3
whose 2
will 3
wings 2
with 5
worked 1
would 2
